Date mutation;Region;Valeur fonciere;Surface reelle bati;Nombre pieces principales;Prix au m2 (Surface bati)
2021-01-04;Auvergne-Rhône-Alpes;390957.0;61.0;3.0;6719.0
2021-01-05;Auvergne-Rhône-Alpes;183282.0;61.0;3.0;3445.0
2021-01-06;Auvergne-Rhône-Alpes;156900.0;59.0;3.0;2837.0
2021-01-07;Auvergne-Rhône-Alpes;213161.0;67.0;3.0;3504.0
2021-01-08;Auvergne-Rhône-Alpes;175987.0;58.0;3.0;3486.0
2021-01-11;Auvergne-Rhône-Alpes;178390.0;62.0;3.0;2990.0
2021-01-12;Auvergne-Rhône-Alpes;201244.0;62.0;3.0;3369.0
2021-01-13;Auvergne-Rhône-Alpes;182233.0;60.0;3.0;3265.0
2021-01-14;Auvergne-Rhône-Alpes;205448.0;61.0;3.0;3904.0
2021-01-15;Auvergne-Rhône-Alpes;206086.0;64.0;3.0;3304.0
2021-01-16;Auvergne-Rhône-Alpes;189429.0;75.0;3.0;2621.0
2021-01-18;Auvergne-Rhône-Alpes;179144.0;64.0;3.0;2940.0
2021-01-19;Auvergne-Rhône-Alpes;166310.0;58.0;3.0;3142.0
2021-01-20;Auvergne-Rhône-Alpes;186215.0;71.0;3.0;3181.0
2021-01-21;Auvergne-Rhône-Alpes;180847.0;63.0;3.0;3343.0
2021-01-22;Auvergne-Rhône-Alpes;464876.0;62.0;3.0;8901.0
2021-01-23;Auvergne-Rhône-Alpes;106120.0;52.0;2.0;2246.0
2021-01-25;Auvergne-Rhône-Alpes;207995.0;63.0;3.0;3690.0
2021-01-26;Auvergne-Rhône-Alpes;164197.0;60.0;3.0;2987.0
2021-01-27;Auvergne-Rhône-Alpes;217234.0;64.0;3.0;3646.0
2021-01-28;Auvergne-Rhône-Alpes;198974.0;63.0;3.0;3593.0
2021-01-29;Auvergne-Rhône-Alpes;186284.0;61.0;3.0;3131.0
2021-01-30;Auvergne-Rhône-Alpes;176001.0;59.0;3.0;3162.0
2021-02-01;Auvergne-Rhône-Alpes;200743.0;64.0;3.0;3210.0
2021-02-02;Auvergne-Rhône-Alpes;229753.0;59.0;3.0;5950.0
2021-02-03;Auvergne-Rhône-Alpes;197439.0;63.0;3.0;3506.0
2021-02-04;Auvergne-Rhône-Alpes;182087.0;60.0;3.0;3339.0
2021-02-05;Auvergne-Rhône-Alpes;201134.0;68.0;3.0;3796.0
2021-02-06;Auvergne-Rhône-Alpes;161139.0;53.0;2.0;3678.0
2021-02-08;Auvergne-Rhône-Alpes;190296.0;63.0;3.0;3315.0
2021-02-09;Auvergne-Rhône-Alpes;175409.0;65.0;3.0;2911.0
2021-02-10;Auvergne-Rhône-Alpes;172454.0;59.0;3.0;2992.0
2021-02-11;Auvergne-Rhône-Alpes;243257.0;65.0;3.0;4072.0
2021-02-12;Auvergne-Rhône-Alpes;194379.0;61.0;3.0;3289.0
2021-02-13;Auvergne-Rhône-Alpes;117675.0;58.0;2.0;2276.0
2021-02-15;Auvergne-Rhône-Alpes;208532.0;65.0;3.0;3272.0
2021-02-16;Auvergne-Rhône-Alpes;171426.0;60.0;3.0;2957.0
2021-02-17;Auvergne-Rhône-Alpes;188193.0;69.0;3.0;2809.0
2021-02-18;Auvergne-Rhône-Alpes;189287.0;62.0;3.0;3516.0
2021-02-19;Auvergne-Rhône-Alpes;200081.0;64.0;3.0;4125.0
2021-02-20;Auvergne-Rhône-Alpes;132943.0;51.0;2.0;2664.0
2021-02-21;Auvergne-Rhône-Alpes;261100.0;110.0;4.0;2374.0
2021-02-22;Auvergne-Rhône-Alpes;201621.0;64.0;3.0;3451.0
2021-02-23;Auvergne-Rhône-Alpes;182188.0;62.0;3.0;3330.0
2021-02-24;Auvergne-Rhône-Alpes;179445.0;62.0;3.0;3188.0
2021-02-25;Auvergne-Rhône-Alpes;205199.0;65.0;3.0;3426.0
2021-02-26;Auvergne-Rhône-Alpes;204935.0;64.0;3.0;3539.0
2021-02-27;Auvergne-Rhône-Alpes;139189.0;61.0;3.0;2816.0
2021-02-28;Auvergne-Rhône-Alpes;40000.0;44.0;2.0;909.0
2021-03-01;Auvergne-Rhône-Alpes;195595.0;64.0;3.0;3321.0
2021-03-02;Auvergne-Rhône-Alpes;209392.0;63.0;3.0;3779.0
2021-03-03;Auvergne-Rhône-Alpes;187084.0;60.0;3.0;3579.0
2021-03-04;Auvergne-Rhône-Alpes;261344.0;61.0;3.0;4768.0
2021-03-05;Auvergne-Rhône-Alpes;194967.0;62.0;3.0;3926.0
2021-03-06;Auvergne-Rhône-Alpes;121448.0;58.0;3.0;2202.0
2021-03-08;Auvergne-Rhône-Alpes;173449.0;61.0;3.0;3621.0
2021-03-09;Auvergne-Rhône-Alpes;170060.0;59.0;3.0;3064.0
2021-03-10;Auvergne-Rhône-Alpes;187270.0;61.0;3.0;3283.0
2021-03-11;Auvergne-Rhône-Alpes;191681.0;62.0;3.0;3137.0
2021-03-12;Auvergne-Rhône-Alpes;173728.0;61.0;3.0;3446.0
2021-03-13;Auvergne-Rhône-Alpes;134233.0;71.0;3.0;1928.0
2021-03-15;Auvergne-Rhône-Alpes;193212.0;63.0;3.0;3214.0
2021-03-16;Auvergne-Rhône-Alpes;185990.0;61.0;3.0;3393.0
2021-03-17;Auvergne-Rhône-Alpes;175581.0;63.0;3.0;3044.0
2021-03-18;Auvergne-Rhône-Alpes;201402.0;64.0;3.0;3277.0
2021-03-19;Auvergne-Rhône-Alpes;234216.0;62.0;3.0;4405.0
2021-03-20;Auvergne-Rhône-Alpes;139136.0;57.0;2.0;2386.0
2021-03-22;Auvergne-Rhône-Alpes;170605.0;61.0;3.0;2992.0
2021-03-23;Auvergne-Rhône-Alpes;172635.0;62.0;3.0;3063.0
2021-03-24;Auvergne-Rhône-Alpes;189563.0;64.0;3.0;3009.0
2021-03-25;Auvergne-Rhône-Alpes;706824.0;60.0;3.0;13432.0
2021-03-26;Auvergne-Rhône-Alpes;223452.0;63.0;3.0;3629.0
2021-03-27;Auvergne-Rhône-Alpes;171126.0;63.0;3.0;2824.0
2021-03-29;Auvergne-Rhône-Alpes;191034.0;64.0;3.0;3324.0
2021-03-30;Auvergne-Rhône-Alpes;304247.0;63.0;3.0;5590.0
2021-03-31;Auvergne-Rhône-Alpes;598445.0;64.0;3.0;10247.0
2021-04-01;Auvergne-Rhône-Alpes;194774.0;63.0;3.0;3528.0
2021-04-02;Auvergne-Rhône-Alpes;235773.0;65.0;3.0;4220.0
