Date mutation;Region;Valeur fonciere;Surface reelle bati;Nombre pieces principales;Prix au m2 (Surface bati)
2021-01-04;Bretagne;184943.0;58.0;3.0;3692.0
2021-01-05;Bretagne;128590.0;51.0;2.0;2618.0
2021-01-06;Bretagne;127530.0;52.0;2.0;2690.0
2021-01-07;Bretagne;252333.0;57.0;3.0;4301.0
2021-01-08;Bretagne;157336.0;56.0;3.0;2936.0
2021-01-09;Bretagne;116429.0;41.0;2.0;2716.0
2021-01-11;Bretagne;164002.0;60.0;3.0;2797.0
2021-01-12;Bretagne;117821.0;50.0;2.0;2596.0
2021-01-13;Bretagne;131661.0;50.0;2.0;2733.0
2021-01-14;Bretagne;144589.0;56.0;3.0;2621.0
2021-01-15;Bretagne;168878.0;61.0;3.0;3784.0
2021-01-16;Bretagne;123710.0;48.0;2.0;2622.0
2021-01-18;Bretagne;161423.0;59.0;3.0;3272.0
2021-01-19;Bretagne;155589.0;56.0;3.0;3144.0
2021-01-20;Bretagne;129188.0;50.0;2.0;2889.0
2021-01-21;Bretagne;145275.0;55.0;3.0;3156.0
2021-01-22;Bretagne;149478.0;54.0;3.0;3011.0
2021-01-23;Bretagne;124800.0;54.0;3.0;2398.0
2021-01-25;Bretagne;159503.0;58.0;3.0;3078.0
2021-01-26;Bretagne;146121.0;61.0;3.0;2625.0
2021-01-27;Bretagne;149739.0;62.0;3.0;2445.0
2021-01-28;Bretagne;130937.0;58.0;3.0;2611.0
2021-01-29;Bretagne;138655.0;56.0;3.0;2619.0
2021-01-30;Bretagne;131766.0;55.0;3.0;2667.0
2021-02-01;Bretagne;141610.0;53.0;2.0;2666.0
2021-02-02;Bretagne;162984.0;57.0;3.0;2992.0
2021-02-03;Bretagne;190059.0;56.0;3.0;3799.0
2021-02-04;Bretagne;175112.0;61.0;3.0;2990.0
2021-02-05;Bretagne;157553.0;59.0;3.0;2651.0
2021-02-06;Bretagne;64828.0;45.0;2.0;1442.0
2021-02-08;Bretagne;165263.0;58.0;3.0;2959.0
2021-02-09;Bretagne;166237.0;57.0;3.0;3138.0
2021-02-10;Bretagne;137292.0;58.0;3.0;2453.0
2021-02-11;Bretagne;138394.0;57.0;3.0;2552.0
2021-02-12;Bretagne;142805.0;57.0;3.0;2779.0
2021-02-13;Bretagne;97794.0;52.0;3.0;2287.0
2021-02-15;Bretagne;135062.0;56.0;3.0;2603.0
2021-02-16;Bretagne;136081.0;61.0;3.0;2408.0
2021-02-17;Bretagne;171880.0;56.0;3.0;3815.0
2021-02-18;Bretagne;135690.0;55.0;3.0;2594.0
2021-02-19;Bretagne;139289.0;58.0;3.0;2527.0
2021-02-20;Bretagne;132600.0;74.0;4.0;1776.0
2021-02-22;Bretagne;142407.0;62.0;3.0;2597.0
2021-02-23;Bretagne;129226.0;60.0;3.0;2500.0
2021-02-24;Bretagne;144445.0;56.0;3.0;2854.0
2021-02-25;Bretagne;225138.0;58.0;3.0;3902.0
2021-02-26;Bretagne;164271.0;65.0;3.0;2716.0
2021-02-27;Bretagne;99571.0;58.0;3.0;1935.0
2021-03-01;Bretagne;144541.0;63.0;3.0;2410.0
2021-03-02;Bretagne;147113.0;61.0;3.0;2398.0
2021-03-03;Bretagne;140086.0;55.0;3.0;2419.0
2021-03-04;Bretagne;157231.0;57.0;3.0;2898.0
2021-03-05;Bretagne;152883.0;58.0;3.0;2783.0
2021-03-06;Bretagne;135575.0;63.0;3.0;2243.0
2021-03-08;Bretagne;138841.0;62.0;3.0;2399.0
2021-03-09;Bretagne;141173.0;58.0;3.0;2662.0
2021-03-10;Bretagne;133847.0;54.0;3.0;2627.0
2021-03-11;Bretagne;133520.0;54.0;2.0;2636.0
2021-03-12;Bretagne;149981.0;59.0;3.0;2755.0
2021-03-13;Bretagne;149428.0;54.0;2.0;2634.0
2021-03-15;Bretagne;155319.0;61.0;3.0;2700.0
2021-03-16;Bretagne;155280.0;57.0;3.0;2741.0
2021-03-17;Bretagne;281867.0;54.0;3.0;6159.0
2021-03-18;Bretagne;174910.0;63.0;3.0;2875.0
2021-03-19;Bretagne;179371.0;59.0;3.0;3294.0
2021-03-20;Bretagne;123676.0;52.0;2.0;2459.0
2021-03-22;Bretagne;128351.0;50.0;2.0;2739.0
2021-03-23;Bretagne;142322.0;57.0;3.0;2870.0
2021-03-24;Bretagne;160319.0;56.0;3.0;3602.0
2021-03-25;Bretagne;115799.0;55.0;3.0;2306.0
2021-03-26;Bretagne;161718.0;59.0;3.0;2789.0
2021-03-27;Bretagne;125512.0;60.0;3.0;2271.0
2021-03-29;Bretagne;176881.0;58.0;3.0;3465.0
2021-03-30;Bretagne;167800.0;61.0;3.0;2831.0
2021-03-31;Bretagne;153580.0;55.0;3.0;3125.0
2021-04-01;Bretagne;161916.0;55.0;2.0;3100.0
2021-04-02;Bretagne;162739.0;60.0;3.0;2828.0
2021-04-03;Bretagne;58000.0;38.0;2.0;1538.0
2021-04-06;Bretagne;155693.0;56.0;3.0;3000.0
2021-04-07;Bretagne;137734.0;56.0;3.0;2594.0
2021-04-08;Bretagne;142952.0;57.0;3.0;2680.0
2021-04-09;Bretagne;146339.0;55.0;3.0;2781.0
2021-04-10;Bretagne;116100.0;57.0;3.0;2144.0
2021-04-12;Bretagne;160187.0;60.0;3.0;2692.0
2021-04-13;Bretagne;145777.0;57.0;3.0;2603.0
2021-04-14;Bretagne;142087.0;61.0;3.0;2441.0
2021-04-15;Bretagne;144164.0;56.0;3.0;3894.0
2021-04-16;Bretagne;154633.0;56.0;3.0;2867.0
2021-04-17;Bretagne;84220.0;50.0;2.0;1791.0
2021-04-19;Bretagne;136629.0;54.0;3.0;2609.0
2021-04-20;Bretagne;163128.0;57.0;3.0;3304.0
2021-04-21;Bretagne;167324.0;64.0;3.0;2861.0
2021-04-22;Bretagne;136991.0;53.0;2.0;2902.0
2021-04-23;Bretagne;192952.0;63.0;3.0;2960.0
2021-04-24;Bretagne;125426.0;60.0;3.0;2163.0
2021-04-26;Bretagne;147348.0;59.0;3.0;2696.0
2021-04-27;Bretagne;188629.0;57.0;3.0;4051.0
2021-04-28;Bretagne;151277.0;56.0;3.0;3771.0
2021-04-29;Bretagne;141614.0;61.0;3.0;2507.0
2021-04-30;Bretagne;159416.0;61.0;3.0;2721.0
2021-05-03;Bretagne;156017.0;57.0;3.0;2736.0
2021-05-04;Bretagne;146203.0;57.0;3.0;2676.0
2021-05-05;Bretagne;162429.0;58.0;3.0;3861.0
2021-05-06;Bretagne;150311.0;58.0;3.0;2711.0
2021-05-07;Bretagne;151628.0;58.0;3.0;2712.0
2021-05-08;Bretagne;140000.0;88.0;4.0;1591.0
2021-05-10;Bretagne;162583.0;58.0;3.0;2868.0
2021-05-11;Bretagne;150691.0;60.0;3.0;2866.0
2021-05-12;Bretagne;154842.0;58.0;3.0;3070.0
2021-05-14;Bretagne;137777.0;61.0;3.0;2518.0
2021-05-15;Bretagne;46100.0;69.0;4.0;664.0
2021-05-17;Bretagne;161606.0;64.0;3.0;2628.0
2021-05-18;Bretagne;143755.0;55.0;3.0;2708.0
2021-05-19;Bretagne;130692.0;56.0;3.0;2465.0
2021-05-20;Bretagne;177124.0;61.0;3.0;3086.0
2021-05-21;Bretagne;162640.0;57.0;3.0;3127.0
2021-05-22;Bretagne;106850.0;63.0;3.0;1683.0
2021-05-24;Bretagne;182550.0;76.0;3.0;2502.0
2021-05-25;Bretagne;144849.0;62.0;3.0;2406.0
2021-05-26;Bretagne;204879.0;60.0;3.0;3504.0
2021-05-27;Bretagne;159212.0;61.0;3.0;2763.0
2021-05-28;Bretagne;170673.0;64.0;3.0;2790.0
2021-05-29;Bretagne;95099.0;54.0;3.0;1881.0
2021-05-31;Bretagne;173343.0;60.0;3.0;3123.0
2021-06-01;Bretagne;145163.0;57.0;3.0;2566.0
2021-06-02;Bretagne;159255.0;61.0;3.0;2677.0
2021-06-03;Bretagne;147711.0;50.0;2.0;3097.0
2021-06-04;Bretagne;154184.0;60.0;3.0;2756.0
2021-06-05;Bretagne;74000.0;36.0;2.0;2130.0
2021-06-07;Bretagne;154203.0;59.0;3.0;3004.0
2021-06-08;Bretagne;176872.0;58.0;3.0;3602.0
2021-06-09;Bretagne;166461.0;64.0;3.0;2650.0
2021-06-10;Bretagne;171864.0;61.0;3.0;2897.0
2021-06-11;Bretagne;144587.0;55.0;3.0;2759.0
2021-06-12;Bretagne;121275.0;51.0;2.0;2568.0
2021-06-14;Bretagne;158237.0;59.0;3.0;2713.0
2021-06-15;Bretagne;169863.0;60.0;3.0;3506.0
2021-06-16;Bretagne;167592.0;54.0;2.0;3693.0
2021-06-17;Bretagne;155928.0;56.0;3.0;2883.0
2021-06-18;Bretagne;154508.0;55.0;3.0;2956.0
2021-06-19;Bretagne;131964.0;45.0;2.0;2921.0
2021-06-21;Bretagne;183676.0;60.0;3.0;3377.0
2021-06-22;Bretagne;149257.0;54.0;3.0;2978.0
2021-06-23;Bretagne;201132.0;50.0;2.0;4483.0
2021-06-24;Bretagne;295854.0;62.0;3.0;4538.0
2021-06-25;Bretagne;198334.0;66.0;3.0;3286.0
2021-06-26;Bretagne;115933.0;71.0;3.0;1942.0
2021-06-28;Bretagne;187456.0;53.0;2.0;3800.0
2021-06-29;Bretagne;150677.0;55.0;3.0;2943.0
2021-06-30;Bretagne;176723.0;61.0;3.0;3157.0
2021-07-01;Bretagne;184955.0;58.0;3.0;3544.0
2021-07-02;Bretagne;175574.0;59.0;3.0;3129.0
2021-07-03;Bretagne;171500.0;53.0;2.0;3183.0
2021-07-04;Bretagne;106000.0;49.0;2.0;2163.0
2021-07-05;Bretagne;207180.0;66.0;3.0;3360.0
2021-07-06;Bretagne;193696.0;61.0;3.0;3180.0
2021-07-07;Bretagne;182802.0;57.0;3.0;3591.0
2021-07-08;Bretagne;175318.0;60.0;3.0;2968.0
2021-07-09;Bretagne;217417.0;58.0;3.0;4438.0
2021-07-10;Bretagne;129312.0;68.0;3.0;1707.0
2021-07-12;Bretagne;170535.0;63.0;3.0;2853.0
2021-07-13;Bretagne;185447.0;56.0;3.0;3567.0
2021-07-15;Bretagne;167622.0;52.0;3.0;3714.0
2021-07-16;Bretagne;157329.0;56.0;3.0;2835.0
2021-07-17;Bretagne;124422.0;55.0;2.0;2097.0
2021-07-19;Bretagne;237695.0;57.0;3.0;4348.0
2021-07-20;Bretagne;177441.0;59.0;3.0;3284.0
2021-07-21;Bretagne;168489.0;57.0;3.0;3248.0
2021-07-22;Bretagne;178658.0;60.0;3.0;3016.0
2021-07-23;Bretagne;180586.0;61.0;3.0;3098.0
2021-07-24;Bretagne;144000.0;58.0;3.0;2751.0
2021-07-26;Bretagne;223743.0;57.0;3.0;7415.0
2021-07-27;Bretagne;191253.0;56.0;3.0;3892.0
2021-07-28;Bretagne;192343.0;58.0;3.0;3151.0
2021-07-29;Bretagne;169366.0;58.0;3.0;3162.0
2021-07-30;Bretagne;180662.0;61.0;3.0;3130.0
2021-07-31;Bretagne;132843.0;61.0;3.0;2523.0
2021-08-02;Bretagne;161891.0;67.0;3.0;2499.0
2021-08-03;Bretagne;166958.0;58.0;3.0;3070.0
2021-08-04;Bretagne;142588.0;59.0;3.0;2649.0
2021-08-05;Bretagne;168426.0;58.0;3.0;3146.0
2021-08-06;Bretagne;167465.0;58.0;3.0;3132.0
2021-08-07;Bretagne;77000.0;47.0;2.0;1630.0
2021-08-09;Bretagne;164916.0;54.0;3.0;3313.0
2021-08-10;Bretagne;161157.0;59.0;3.0;2791.0
2021-08-11;Bretagne;170721.0;63.0;3.0;2762.0
2021-08-12;Bretagne;156776.0;56.0;3.0;2886.0
2021-08-13;Bretagne;191534.0;67.0;3.0;2854.0
2021-08-14;Bretagne;120000.0;96.0;4.0;1250.0
2021-08-16;Bretagne;178276.0;62.0;3.0;2898.0
2021-08-17;Bretagne;166587.0;55.0;3.0;3293.0
2021-08-18;Bretagne;189841.0;56.0;2.0;3640.0
2021-08-19;Bretagne;144443.0;56.0;3.0;2734.0
2021-08-20;Bretagne;162970.0;59.0;3.0;2812.0
2021-08-23;Bretagne;189836.0;60.0;3.0;3202.0
2021-08-24;Bretagne;161136.0;55.0;3.0;2896.0
2021-08-25;Bretagne;167044.0;58.0;3.0;3158.0
2021-08-26;Bretagne;161373.0;55.0;3.0;3311.0
2021-08-27;Bretagne;169176.0;59.0;3.0;3018.0
2021-08-28;Bretagne;108952.0;44.0;2.0;2495.0
2021-08-30;Bretagne;177762.0;58.0;3.0;3301.0
2021-08-31;Bretagne;156021.0;51.0;2.0;3954.0
2021-09-01;Bretagne;188997.0;61.0;3.0;3473.0
2021-09-02;Bretagne;148527.0;56.0;3.0;2846.0
2021-09-03;Bretagne;159102.0;55.0;3.0;3123.0
2021-09-04;Bretagne;125640.0;54.0;2.0;2784.0
2021-09-06;Bretagne;160556.0;63.0;3.0;2516.0
2021-09-07;Bretagne;157655.0;55.0;3.0;3265.0
2021-09-08;Bretagne;192885.0;54.0;3.0;3924.0
2021-09-09;Bretagne;184107.0;57.0;3.0;3248.0
2021-09-10;Bretagne;159519.0;56.0;3.0;3086.0
2021-09-11;Bretagne;129667.0;54.0;3.0;2300.0
2021-09-13;Bretagne;150632.0;56.0;3.0;2844.0
2021-09-14;Bretagne;153185.0;54.0;2.0;2967.0
2021-09-15;Bretagne;161766.0;57.0;3.0;2955.0
2021-09-16;Bretagne;161717.0;56.0;3.0;3122.0
2021-09-17;Bretagne;160266.0;56.0;3.0;3015.0
2021-09-18;Bretagne;103714.0;48.0;2.0;2254.0
2021-09-20;Bretagne;170532.0;55.0;2.0;3395.0
2021-09-21;Bretagne;169884.0;61.0;3.0;3014.0
2021-09-22;Bretagne;150449.0;54.0;2.0;2995.0
2021-09-23;Bretagne;160199.0;58.0;3.0;2872.0
2021-09-24;Bretagne;170583.0;58.0;3.0;3150.0
2021-09-25;Bretagne;112000.0;55.0;3.0;2410.0
2021-09-27;Bretagne;176521.0;57.0;3.0;3375.0
2021-09-28;Bretagne;166525.0;54.0;3.0;3666.0
2021-09-29;Bretagne;128621.0;54.0;3.0;2598.0
2021-09-30;Bretagne;165204.0;56.0;3.0;3047.0
2021-10-01;Bretagne;188653.0;60.0;3.0;3147.0
2021-10-02;Bretagne;114917.0;48.0;2.0;2357.0
2021-10-04;Bretagne;236511.0;65.0;3.0;3780.0
2021-10-05;Bretagne;138252.0;54.0;3.0;2776.0
2021-10-06;Bretagne;143291.0;54.0;3.0;2873.0
2021-10-07;Bretagne;201148.0;62.0;3.0;3165.0
2021-10-08;Bretagne;218989.0;50.0;2.0;5810.0
2021-10-09;Bretagne;91515.0;38.0;2.0;2657.0
2021-10-11;Bretagne;146312.0;60.0;3.0;2645.0
2021-10-12;Bretagne;172088.0;55.0;4.0;3135.0
2021-10-13;Bretagne;140812.0;56.0;3.0;2907.0
2021-10-14;Bretagne;144122.0;46.0;2.0;3496.0
2021-10-15;Bretagne;173134.0;52.0;2.0;3579.0
2021-10-16;Bretagne;137250.0;52.0;2.0;2584.0
2021-10-18;Bretagne;193091.0;57.0;2.0;3690.0
2021-10-19;Bretagne;193041.0;59.0;3.0;3354.0
2021-10-20;Bretagne;161761.0;57.0;3.0;2969.0
2021-10-21;Bretagne;168057.0;54.0;3.0;3950.0
2021-10-22;Bretagne;179605.0;60.0;3.0;3062.0
2021-10-23;Bretagne;126574.0;52.0;3.0;2902.0
2021-10-25;Bretagne;190666.0;55.0;3.0;3433.0
2021-10-26;Bretagne;171689.0;61.0;3.0;2966.0
2021-10-27;Bretagne;145957.0;51.0;2.0;2968.0
2021-10-28;Bretagne;191882.0;57.0;3.0;3429.0
2021-10-29;Bretagne;233751.0;52.0;3.0;6276.0
2021-10-30;Bretagne;226195.0;64.0;3.0;3331.0
2021-11-02;Bretagne;160225.0;55.0;2.0;3119.0
2021-11-03;Bretagne;215940.0;71.0;3.0;3226.0
2021-11-04;Bretagne;158182.0;55.0;3.0;3111.0
2021-11-05;Bretagne;152248.0;52.0;2.0;3173.0
2021-11-06;Bretagne;86350.0;80.0;4.0;1156.0
2021-11-08;Bretagne;216316.0;59.0;3.0;3530.0
2021-11-09;Bretagne;150233.0;57.0;3.0;3058.0
2021-11-10;Bretagne;187603.0;62.0;3.0;3037.0
2021-11-12;Bretagne;135738.0;56.0;3.0;2615.0
2021-11-13;Bretagne;113660.0;52.0;2.0;2578.0
2021-11-15;Bretagne;187972.0;60.0;3.0;3362.0
2021-11-16;Bretagne;217942.0;51.0;2.0;5864.0
2021-11-17;Bretagne;208526.0;67.0;3.0;3158.0
2021-11-18;Bretagne;167666.0;60.0;3.0;2924.0
2021-11-19;Bretagne;191927.0;55.0;3.0;3534.0
2021-11-20;Bretagne;114885.0;57.0;3.0;1895.0
2021-11-22;Bretagne;184239.0;54.0;3.0;3497.0
2021-11-23;Bretagne;183528.0;59.0;3.0;3113.0
2021-11-24;Bretagne;240946.0;63.0;3.0;3509.0
2021-11-25;Bretagne;189867.0;55.0;3.0;3501.0
2021-11-26;Bretagne;192921.0;53.0;2.0;3837.0
2021-11-27;Bretagne;144050.0;48.0;3.0;3015.0
2021-11-29;Bretagne;182965.0;56.0;3.0;3597.0
2021-11-30;Bretagne;199903.0;56.0;3.0;3582.0
2021-12-01;Bretagne;158351.0;54.0;2.0;3108.0
2021-12-02;Bretagne;164495.0;55.0;3.0;3266.0
2021-12-03;Bretagne;170952.0;58.0;3.0;3036.0
2021-12-04;Bretagne;154400.0;47.0;3.0;3361.0
2021-12-06;Bretagne;158435.0;59.0;3.0;2944.0
2021-12-07;Bretagne;251679.0;79.0;3.0;3110.0
2021-12-08;Bretagne;143930.0;56.0;3.0;2723.0
2021-12-09;Bretagne;160285.0;62.0;3.0;2661.0
2021-12-10;Bretagne;192329.0;61.0;3.0;3230.0
2021-12-11;Bretagne;198450.0;72.0;3.0;2756.0
2021-12-13;Bretagne;174537.0;56.0;3.0;3225.0
2021-12-14;Bretagne;172132.0;54.0;3.0;3505.0
2021-12-15;Bretagne;229738.0;60.0;3.0;4082.0
2021-12-16;Bretagne;227468.0;58.0;3.0;4616.0
2021-12-17;Bretagne;166959.0;58.0;3.0;3021.0
2021-12-18;Bretagne;102500.0;38.0;2.0;3025.0
2021-12-20;Bretagne;196123.0;63.0;3.0;3189.0
2021-12-21;Bretagne;172822.0;57.0;3.0;3197.0
2021-12-22;Bretagne;154293.0;58.0;3.0;2895.0
2021-12-23;Bretagne;169878.0;53.0;3.0;3709.0
2021-12-24;Bretagne;162101.0;52.0;2.0;2979.0
2021-12-27;Bretagne;144923.0;52.0;2.0;2859.0
2021-12-28;Bretagne;174351.0;53.0;2.0;3365.0
2021-12-29;Bretagne;183601.0;57.0;3.0;3239.0
2021-12-30;Bretagne;153982.0;49.0;2.0;3766.0
2021-12-31;Bretagne;105370.0;41.0;2.0;2802.0
