Date mutation;Region;Valeur fonciere;Surface reelle bati;Nombre pieces principales;Prix au m2 (Surface bati)
2021-01-04;Haut-De-France;194060.0;66.0;3.0;3000.0
2021-01-05;Haut-De-France;189451.0;64.0;3.0;2995.0
2021-01-06;Haut-De-France;150027.0;64.0;3.0;2553.0
2021-01-07;Haut-De-France;175055.0;53.0;2.0;18452.0
2021-01-08;Haut-De-France;158712.0;61.0;3.0;2694.0
2021-01-09;Haut-De-France;141156.0;56.0;2.0;2766.0
2021-01-11;Haut-De-France;175658.0;60.0;3.0;3073.0
2021-01-12;Haut-De-France;202110.0;61.0;3.0;3730.0
2021-01-13;Haut-De-France;167967.0;60.0;3.0;2975.0
2021-01-14;Haut-De-France;183795.0;65.0;3.0;2957.0
2021-01-15;Haut-De-France;187829.0;62.0;3.0;3146.0
2021-01-16;Haut-De-France;126477.0;51.0;2.0;3074.0
2021-01-18;Haut-De-France;143939.0;59.0;3.0;2602.0
2021-01-19;Haut-De-France;151141.0;54.0;2.0;3172.0
2021-01-20;Haut-De-France;151833.0;59.0;3.0;3205.0
2021-01-21;Haut-De-France;169649.0;64.0;3.0;3038.0
2021-01-22;Haut-De-France;133660.0;58.0;3.0;2600.0
2021-01-23;Haut-De-France;111844.0;64.0;3.0;1912.0
2021-01-24;Haut-De-France;122000.0;73.0;4.0;1671.0
2021-01-25;Haut-De-France;137179.0;60.0;2.0;2517.0
2021-01-26;Haut-De-France;135562.0;58.0;3.0;2357.0
2021-01-27;Haut-De-France;274415.0;55.0;2.0;4881.0
2021-01-28;Haut-De-France;130150.0;60.0;3.0;2347.0
2021-01-29;Haut-De-France;161722.0;60.0;3.0;2896.0
2021-01-30;Haut-De-France;114334.0;56.0;3.0;2214.0
2021-02-01;Haut-De-France;135455.0;51.0;2.0;2850.0
2021-02-02;Haut-De-France;150718.0;57.0;2.0;2858.0
2021-02-03;Haut-De-France;145481.0;57.0;2.0;2599.0
2021-02-04;Haut-De-France;134324.0;58.0;2.0;2774.0
2021-02-05;Haut-De-France;129524.0;58.0;3.0;2338.0
2021-02-06;Haut-De-France;119461.0;40.0;2.0;3025.0
2021-02-08;Haut-De-France;160535.0;51.0;2.0;3572.0
2021-02-09;Haut-De-France;136024.0;53.0;3.0;2748.0
2021-02-10;Haut-De-France;126433.0;52.0;2.0;3878.0
2021-02-11;Haut-De-France;134709.0;62.0;3.0;2380.0
2021-02-12;Haut-De-France;156229.0;58.0;3.0;2906.0
2021-02-13;Haut-De-France;159693.0;62.0;3.0;2455.0
2021-02-15;Haut-De-France;171729.0;55.0;3.0;3599.0
2021-02-16;Haut-De-France;142932.0;60.0;3.0;2464.0
2021-02-17;Haut-De-France;204544.0;53.0;2.0;4897.0
2021-02-18;Haut-De-France;160330.0;59.0;3.0;3097.0
2021-02-19;Haut-De-France;141761.0;55.0;2.0;2686.0
2021-02-20;Haut-De-France;136679.0;62.0;3.0;2419.0
2021-02-22;Haut-De-France;169598.0;67.0;3.0;2941.0
2021-02-23;Haut-De-France;354773.0;37.0;2.0;15794.0
2021-02-24;Haut-De-France;121530.0;56.0;3.0;2368.0
2021-02-25;Haut-De-France;161746.0;56.0;2.0;2949.0
2021-02-26;Haut-De-France;155849.0;64.0;3.0;2540.0
2021-02-27;Haut-De-France;110242.0;49.0;2.0;2316.0
2021-03-01;Haut-De-France;129514.0;58.0;3.0;2222.0
2021-03-02;Haut-De-France;158325.0;58.0;3.0;2763.0
2021-03-03;Haut-De-France;127526.0;63.0;3.0;2172.0
2021-03-04;Haut-De-France;158788.0;59.0;3.0;2787.0
2021-03-05;Haut-De-France;131173.0;61.0;3.0;2218.0
2021-03-06;Haut-De-France;80700.0;48.0;3.0;2004.0
2021-03-08;Haut-De-France;144665.0;59.0;2.0;2596.0
2021-03-09;Haut-De-France;151840.0;61.0;3.0;2730.0
2021-03-10;Haut-De-France;264395.0;60.0;2.0;3984.0
2021-03-11;Haut-De-France;179982.0;57.0;3.0;3619.0
2021-03-12;Haut-De-France;146228.0;60.0;3.0;2496.0
2021-03-13;Haut-De-France;144617.0;47.0;2.0;3144.0
2021-03-15;Haut-De-France;153021.0;57.0;2.0;2825.0
2021-03-16;Haut-De-France;134979.0;55.0;3.0;5432.0
2021-03-17;Haut-De-France;135356.0;56.0;3.0;2764.0
2021-03-18;Haut-De-France;143355.0;62.0;3.0;2442.0
2021-03-19;Haut-De-France;145096.0;62.0;3.0;2433.0
2021-03-20;Haut-De-France;114812.0;48.0;2.0;2793.0
2021-03-22;Haut-De-France;128226.0;56.0;2.0;2569.0
2021-03-24;Haut-De-France;127802.0;57.0;3.0;2540.0
2021-03-25;Haut-De-France;174398.0;64.0;3.0;2946.0
2021-03-26;Haut-De-France;161031.0;61.0;3.0;2837.0
2021-03-27;Haut-De-France;98524.0;50.0;2.0;2363.0
2021-03-29;Haut-De-France;156271.0;56.0;2.0;2847.0
2021-03-30;Haut-De-France;136419.0;57.0;3.0;3010.0
2021-03-31;Haut-De-France;483682.0;61.0;3.0;7611.0
2021-04-01;Haut-De-France;139846.0;55.0;3.0;2654.0
2021-04-02;Haut-De-France;171936.0;60.0;2.0;3184.0
2021-04-03;Haut-De-France;99250.0;88.0;4.0;1116.0
2021-04-06;Haut-De-France;122805.0;54.0;2.0;2641.0
2021-04-07;Haut-De-France;132107.0;57.0;2.0;2574.0
