Date mutation;Region;Valeur fonciere;Surface reelle bati;Nombre pieces principales;Prix au m2 (Surface bati)
2021-01-01;Ile-de-France;169500.0;18.0;1.0;9417.0
2021-01-02;Ile-de-France;403000.0;34.0;1.0;12846.0
2021-01-04;Ile-de-France;378985.0;61.0;3.0;6246.0
2021-01-05;Ile-de-France;384958.0;57.0;3.0;7340.0
2021-01-06;Ile-de-France;365871.0;54.0;3.0;7038.0
2021-01-07;Ile-de-France;454036.0;58.0;3.0;8584.0
2021-01-08;Ile-de-France;703668.0;57.0;3.0;13519.0
2021-01-09;Ile-de-France;219588.0;48.0;2.0;6369.0
2021-01-11;Ile-de-France;368076.0;54.0;3.0;7379.0
2021-01-12;Ile-de-France;373363.0;57.0;3.0;7941.0
2021-01-13;Ile-de-France;325908.0;52.0;2.0;7033.0
2021-01-14;Ile-de-France;416003.0;57.0;3.0;8359.0
2021-01-15;Ile-de-France;531119.0;57.0;3.0;10234.0
2021-01-16;Ile-de-France;214364.0;50.0;2.0;4693.0
2021-01-18;Ile-de-France;350554.0;54.0;3.0;7167.0
2021-01-19;Ile-de-France;365368.0;56.0;3.0;6947.0
2021-01-20;Ile-de-France;521191.0;55.0;3.0;10747.0
2021-01-21;Ile-de-France;343977.0;55.0;3.0;7000.0
2021-01-22;Ile-de-France;420627.0;57.0;3.0;7752.0
2021-01-23;Ile-de-France;203780.0;52.0;3.0;4268.0
2021-01-25;Ile-de-France;403294.0;54.0;3.0;8270.0
2021-01-26;Ile-de-France;469801.0;55.0;3.0;9693.0
2021-01-27;Ile-de-France;315276.0;56.0;3.0;6101.0
2021-01-28;Ile-de-France;368791.0;55.0;3.0;7479.0
2021-01-29;Ile-de-France;485772.0;61.0;3.0;8438.0
2021-01-30;Ile-de-France;292942.0;56.0;3.0;4472.0
2021-02-01;Ile-de-France;383287.0;55.0;3.0;10392.0
2021-02-02;Ile-de-France;294649.0;55.0;3.0;5880.0
2021-02-03;Ile-de-France;327087.0;52.0;2.0;7315.0
2021-02-04;Ile-de-France;364401.0;55.0;3.0;7485.0
2021-02-05;Ile-de-France;373187.0;56.0;3.0;7250.0
2021-02-06;Ile-de-France;185862.0;47.0;2.0;4609.0
2021-02-08;Ile-de-France;351060.0;56.0;3.0;6929.0
2021-02-09;Ile-de-France;342235.0;55.0;3.0;6571.0
2021-02-10;Ile-de-France;357498.0;53.0;3.0;7726.0
2021-02-11;Ile-de-France;356765.0;55.0;3.0;7161.0
2021-02-12;Ile-de-France;654494.0;56.0;3.0;17230.0
2021-02-13;Ile-de-France;221391.0;56.0;3.0;4263.0
2021-02-14;Ile-de-France;640000.0;88.0;4.0;7273.0
2021-02-15;Ile-de-France;406294.0;55.0;3.0;8990.0
2021-02-16;Ile-de-France;368133.0;56.0;3.0;7233.0
2021-02-17;Ile-de-France;367473.0;55.0;2.0;8219.0
2021-02-18;Ile-de-France;389318.0;57.0;3.0;7116.0
2021-02-19;Ile-de-France;814205.0;60.0;3.0;14955.0
2021-02-20;Ile-de-France;187708.0;50.0;2.0;3860.0
2021-02-22;Ile-de-France;434592.0;61.0;3.0;7386.0
2021-02-23;Ile-de-France;360849.0;56.0;3.0;6989.0
2021-02-24;Ile-de-France;370172.0;53.0;2.0;7543.0
2021-02-25;Ile-de-France;362299.0;54.0;2.0;7039.0
2021-02-26;Ile-de-France;389499.0;59.0;3.0;6968.0
2021-02-27;Ile-de-France;229027.0;58.0;3.0;4436.0
2021-02-28;Ile-de-France;236000.0;63.0;4.0;3746.0
2021-03-01;Ile-de-France;399832.0;58.0;3.0;7450.0
2021-03-02;Ile-de-France;411462.0;54.0;3.0;8069.0
2021-03-03;Ile-de-France;358194.0;55.0;3.0;7375.0
2021-03-04;Ile-de-France;396076.0;57.0;3.0;7972.0
2021-03-05;Ile-de-France;369447.0;56.0;3.0;7159.0
2021-03-06;Ile-de-France;161628.0;43.0;2.0;4829.0
2021-03-08;Ile-de-France;477740.0;57.0;3.0;8478.0
2021-03-09;Ile-de-France;369913.0;54.0;3.0;7612.0
2021-03-10;Ile-de-France;424811.0;56.0;3.0;8934.0
2021-03-11;Ile-de-France;382678.0;55.0;3.0;7636.0
2021-03-12;Ile-de-France;380933.0;56.0;3.0;7174.0
2021-03-13;Ile-de-France;209403.0;54.0;3.0;4107.0
2021-03-15;Ile-de-France;1035251.0;59.0;3.0;14108.0
2021-03-16;Ile-de-France;362282.0;53.0;2.0;8316.0
2021-03-17;Ile-de-France;328865.0;56.0;3.0;6347.0
2021-03-18;Ile-de-France;353778.0;54.0;3.0;7062.0
2021-03-19;Ile-de-France;438823.0;55.0;3.0;8973.0
2021-03-20;Ile-de-France;249957.0;55.0;2.0;4847.0
2021-03-22;Ile-de-France;355928.0;56.0;3.0;7197.0
2021-03-23;Ile-de-France;392355.0;57.0;3.0;7279.0
2021-03-24;Ile-de-France;478562.0;58.0;3.0;8932.0
2021-03-25;Ile-de-France;529149.0;57.0;3.0;13521.0
2021-03-26;Ile-de-France;502415.0;57.0;3.0;12542.0
2021-03-27;Ile-de-France;263297.0;57.0;3.0;4429.0
2021-03-29;Ile-de-France;442223.0;57.0;3.0;9480.0
2021-03-30;Ile-de-France;580229.0;55.0;3.0;14610.0
2021-03-31;Ile-de-France;576580.0;58.0;3.0;11698.0
2021-04-01;Ile-de-France;398612.0;55.0;3.0;8827.0
2021-04-02;Ile-de-France;343119.0;57.0;3.0;7142.0
2021-04-03;Ile-de-France;202184.0;68.0;4.0;3338.0
2021-04-06;Ile-de-France;402527.0;56.0;3.0;7624.0
2021-04-07;Ile-de-France;401279.0;55.0;3.0;9084.0
2021-04-08;Ile-de-France;358524.0;54.0;3.0;6788.0
2021-04-09;Ile-de-France;501292.0;57.0;3.0;8532.0
2021-04-10;Ile-de-France;157298.0;48.0;2.0;3897.0
2021-04-12;Ile-de-France;1136682.0;58.0;3.0;12128.0
2021-04-13;Ile-de-France;353548.0;54.0;3.0;7768.0
2021-04-14;Ile-de-France;521770.0;54.0;3.0;11635.0
2021-04-15;Ile-de-France;424698.0;58.0;3.0;7855.0
2021-04-16;Ile-de-France;394006.0;59.0;3.0;7245.0
2021-04-17;Ile-de-France;192547.0;61.0;3.0;3400.0
2021-04-19;Ile-de-France;406902.0;57.0;3.0;7519.0
2021-04-20;Ile-de-France;352531.0;56.0;3.0;6724.0
2021-04-21;Ile-de-France;347316.0;54.0;3.0;7080.0
2021-04-22;Ile-de-France;365265.0;56.0;3.0;7214.0
2021-04-23;Ile-de-France;364931.0;55.0;3.0;7363.0
2021-04-24;Ile-de-France;162489.0;50.0;2.0;4832.0
2021-04-26;Ile-de-France;392724.0;57.0;3.0;7523.0
2021-04-27;Ile-de-France;1280559.0;59.0;3.0;18256.0
2021-04-28;Ile-de-France;410362.0;55.0;3.0;7433.0
2021-04-29;Ile-de-France;401601.0;57.0;3.0;7862.0
2021-04-30;Ile-de-France;803663.0;59.0;3.0;19228.0
2021-05-01;Ile-de-France;92500.0;108.0;4.0;1031.0
2021-05-03;Ile-de-France;387282.0;56.0;3.0;7302.0
2021-05-04;Ile-de-France;359689.0;55.0;3.0;6878.0
2021-05-05;Ile-de-France;389289.0;55.0;3.0;8033.0
2021-05-06;Ile-de-France;371948.0;55.0;3.0;7293.0
2021-05-07;Ile-de-France;386525.0;56.0;3.0;7517.0
2021-05-08;Ile-de-France;307000.0;79.0;4.0;3886.0
2021-05-10;Ile-de-France;376938.0;56.0;3.0;6918.0
