Date mutation;Region;Valeur fonciere;Surface reelle bati;Nombre pieces principales;Prix au m2 (Surface bati)
2021-01-02;Normandie;54000.0;20.0;2.0;2700.0
2021-01-04;Normandie;136825.0;54.0;2.0;2409.0
2021-01-05;Normandie;123116.0;57.0;3.0;2342.0
2021-01-06;Normandie;134334.0;55.0;2.0;3457.0
2021-01-07;Normandie;110706.0;50.0;2.0;2410.0
2021-01-08;Normandie;127005.0;48.0;2.0;2841.0
2021-01-09;Normandie;102857.0;37.0;2.0;3078.0
2021-01-11;Normandie;151480.0;64.0;3.0;2382.0
2021-01-12;Normandie;111198.0;49.0;2.0;2480.0
2021-01-13;Normandie;110446.0;57.0;3.0;2009.0
2021-01-14;Normandie;124749.0;52.0;3.0;2499.0
2021-01-15;Normandie;160454.0;58.0;3.0;3025.0
2021-01-16;Normandie;97561.0;43.0;2.0;2651.0
2021-01-18;Normandie;130467.0;53.0;3.0;3228.0
2021-01-19;Normandie;122332.0;58.0;3.0;2284.0
2021-01-20;Normandie;114421.0;49.0;2.0;2482.0
2021-01-21;Normandie;138705.0;50.0;2.0;3061.0
2021-01-22;Normandie;132163.0;54.0;2.0;2778.0
2021-01-23;Normandie;109096.0;50.0;3.0;2651.0
2021-01-25;Normandie;138324.0;54.0;3.0;2766.0
2021-01-26;Normandie;131350.0;55.0;3.0;2472.0
2021-01-27;Normandie;117821.0;55.0;2.0;2334.0
2021-01-28;Normandie;123509.0;50.0;2.0;3074.0
2021-01-29;Normandie;179337.0;56.0;3.0;3879.0
2021-01-30;Normandie;119686.0;46.0;3.0;2862.0
2021-02-01;Normandie;165892.0;60.0;3.0;3199.0
2021-02-02;Normandie;183772.0;68.0;3.0;2607.0
2021-02-03;Normandie;121368.0;50.0;2.0;2730.0
2021-02-04;Normandie;128506.0;55.0;3.0;2508.0
2021-02-05;Normandie;137337.0;53.0;2.0;2583.0
2021-02-06;Normandie;116216.0;46.0;2.0;3236.0
2021-02-08;Normandie;122626.0;60.0;3.0;2261.0
2021-02-09;Normandie;153591.0;54.0;2.0;3089.0
2021-02-10;Normandie;123757.0;55.0;3.0;2457.0
2021-02-11;Normandie;142429.0;61.0;3.0;2463.0
2021-02-12;Normandie;140306.0;54.0;2.0;3173.0
2021-02-13;Normandie;141464.0;45.0;2.0;3169.0
2021-02-15;Normandie;158341.0;61.0;3.0;2977.0
2021-02-16;Normandie;128801.0;59.0;3.0;2241.0
2021-02-17;Normandie;134274.0;49.0;2.0;2675.0
2021-02-18;Normandie;125280.0;53.0;2.0;2486.0
2021-02-19;Normandie;164509.0;58.0;3.0;2951.0
2021-02-20;Normandie;119076.0;48.0;2.0;2664.0
2021-02-22;Normandie;128857.0;58.0;3.0;2327.0
2021-02-23;Normandie;122375.0;57.0;3.0;2319.0
2021-02-24;Normandie;149492.0;59.0;3.0;3179.0
2021-02-25;Normandie;119412.0;58.0;3.0;2217.0
2021-02-26;Normandie;181328.0;62.0;3.0;3421.0
2021-02-27;Normandie;117759.0;55.0;2.0;2565.0
2021-03-01;Normandie;149773.0;58.0;3.0;2646.0
2021-03-02;Normandie;147588.0;55.0;3.0;2957.0
2021-03-03;Normandie;109337.0;56.0;3.0;2096.0
2021-03-04;Normandie;263034.0;55.0;3.0;5188.0
2021-03-05;Normandie;121789.0;57.0;3.0;2322.0
2021-03-06;Normandie;85684.0;49.0;3.0;2013.0
2021-03-08;Normandie;196504.0;63.0;3.0;3634.0
2021-03-10;Normandie;215142.0;59.0;3.0;3820.0
2021-03-11;Normandie;144139.0;60.0;3.0;2568.0
2021-03-12;Normandie;149029.0;51.0;2.0;3311.0
2021-03-13;Normandie;99440.0;45.0;2.0;2420.0
2021-03-15;Normandie;187384.0;56.0;2.0;3834.0
2021-03-16;Normandie;138562.0;57.0;3.0;2572.0
2021-03-17;Normandie;110555.0;49.0;2.0;2556.0
2021-03-18;Normandie;120467.0;53.0;3.0;2426.0
2021-03-19;Normandie;139122.0;58.0;3.0;3011.0
2021-03-20;Normandie;123490.0;49.0;3.0;2952.0
2021-03-22;Normandie;158782.0;53.0;2.0;3661.0
2021-03-23;Normandie;146343.0;57.0;2.0;3372.0
2021-03-24;Normandie;163209.0;66.0;3.0;2521.0
2021-03-25;Normandie;160651.0;53.0;2.0;3578.0
2021-03-26;Normandie;121229.0;56.0;3.0;2394.0
2021-03-27;Normandie;100162.0;42.0;2.0;2704.0
2021-03-29;Normandie;124371.0;51.0;2.0;2578.0
2021-03-30;Normandie;141479.0;58.0;3.0;2688.0
2021-03-31;Normandie;146662.0;61.0;3.0;2708.0
2021-04-01;Normandie;134697.0;62.0;3.0;2381.0
2021-04-02;Normandie;157598.0;52.0;2.0;3288.0
2021-04-03;Normandie;169020.0;49.0;2.0;3585.0
2021-04-06;Normandie;121631.0;53.0;2.0;2650.0
2021-04-07;Normandie;139014.0;57.0;2.0;2629.0
2021-04-08;Normandie;132142.0;53.0;2.0;2636.0
2021-04-09;Normandie;126866.0;54.0;2.0;2721.0
2021-04-10;Normandie;87488.0;45.0;2.0;2149.0
2021-04-12;Normandie;203012.0;63.0;3.0;3014.0
2021-04-13;Normandie;118782.0;57.0;3.0;2198.0
2021-04-14;Normandie;118583.0;54.0;2.0;2526.0
2021-04-15;Normandie;122695.0;51.0;2.0;2549.0
2021-04-16;Normandie;132951.0;56.0;2.0;2578.0
2021-04-17;Normandie;138520.0;48.0;3.0;2952.0
2021-04-19;Normandie;150370.0;58.0;3.0;2732.0
2021-04-20;Normandie;156100.0;53.0;2.0;3068.0
2021-04-21;Normandie;137818.0;52.0;2.0;2888.0
2021-04-22;Normandie;126185.0;55.0;2.0;2244.0
2021-04-23;Normandie;140171.0;54.0;2.0;2670.0
2021-04-24;Normandie;127340.0;58.0;3.0;2650.0
2021-04-26;Normandie;120118.0;60.0;3.0;2146.0
2021-04-27;Normandie;116181.0;49.0;2.0;2583.0
2021-04-28;Normandie;150341.0;52.0;2.0;3565.0
2021-04-29;Normandie;145289.0;53.0;2.0;2868.0
2021-04-30;Normandie;141207.0;49.0;2.0;3454.0
2021-05-03;Normandie;202132.0;57.0;3.0;5508.0
2021-05-04;Normandie;186465.0;58.0;3.0;3682.0
2021-05-05;Normandie;133394.0;53.0;3.0;3157.0
2021-05-06;Normandie;150463.0;51.0;2.0;3119.0
2021-05-07;Normandie;136800.0;53.0;3.0;2690.0
2021-05-08;Normandie;103000.0;25.0;2.0;4078.0
2021-05-10;Normandie;123157.0;63.0;3.0;1972.0
2021-05-11;Normandie;125340.0;52.0;2.0;2467.0
2021-05-12;Normandie;120669.0;49.0;2.0;2663.0
2021-05-14;Normandie;153695.0;69.0;3.0;2454.0
2021-05-15;Normandie;95124.0;34.0;2.0;3081.0
2021-05-17;Normandie;146773.0;63.0;3.0;2418.0
2021-05-18;Normandie;143705.0;48.0;2.0;3794.0
