Nombre pieces principales;Quartier;Nombre de type de logement
1.0;Centre;1007
1.0;Est-Nord;2608
1.0;Est-Sud;1514
1.0;Ouest-Nord;2298
1.0;Ouest-Sud;2090
2.0;Centre;1083
2.0;Est-Nord;3569
2.0;Est-Sud;1995
2.0;Ouest-Nord;3254
2.0;Ouest-Sud;2509
3.0;Centre;602
3.0;Est-Nord;2165
3.0;Est-Sud;1350
3.0;Ouest-Nord;2066
3.0;Ouest-Sud;2018
4.0;Centre;283
4.0;Est-Nord;775
4.0;Est-Sud;547
4.0;Ouest-Nord;882
4.0;Ouest-Sud;1292
5.0;Centre;151
5.0;Est-Nord;230
5.0;Est-Sud;174
5.0;Ouest-Nord;442
5.0;Ouest-Sud;650
6.0;Centre;44
6.0;Est-Nord;43
6.0;Est-Sud;37
6.0;Ouest-Nord;184
6.0;Ouest-Sud;309
7.0;Centre;15
7.0;Est-Nord;6
7.0;Est-Sud;9
7.0;Ouest-Nord;52
7.0;Ouest-Sud;142
8.0;Centre;4
8.0;Est-Nord;1
8.0;Est-Sud;5
8.0;Ouest-Nord;16
8.0;Ouest-Sud;43
9.0;Centre;1
9.0;Ouest-Nord;3
9.0;Ouest-Sud;17
10.0;Est-Nord;1
10.0;Ouest-Nord;3
10.0;Ouest-Sud;7
11.0;Ouest-Sud;2
13.0;Ouest-Nord;1
13.0;Ouest-Sud;1
16.0;Ouest-Sud;1
17.0;Est-Nord;1
