Date mutation;Quartier;Valeur fonciere;Code departement;Surface reelle bati;Nombre pieces principales;Prix au m2 (Surface bati)
2021-10-22;Centre;200000.0;75;25.0;1.0;8000
2021-06-23;Centre;480000.0;75;31.0;1.0;15484
2021-06-23;Centre;125000.0;75;12.0;1.0;10417
2021-07-09;Centre;256420.0;75;21.0;1.0;12210
2021-07-02;Centre;140000.0;75;8.0;1.0;17500
2021-07-02;Centre;140000.0;75;9.0;1.0;15556
2021-06-28;Centre;140250.0;75;10.0;1.0;14025
2021-12-09;Centre;142000.0;75;11.0;1.0;12909
2021-12-20;Centre;282500.0;75;22.0;1.0;12841
2021-07-15;Centre;340000.0;75;28.0;1.0;12143
2021-06-29;Centre;250000.0;75;24.0;1.0;10417
2021-07-05;Centre;22000.0;75;32.0;1.0;688
2021-11-25;Centre;870000.0;75;52.0;1.0;16731
2021-07-07;Centre;186750.0;75;8.0;1.0;23344
2021-06-29;Centre;165000.0;75;10.0;1.0;16500
2021-06-29;Centre;155000.0;75;13.0;1.0;11923
2021-06-28;Centre;3485223.5;75;35.0;1.0;99578
2021-06-30;Centre;234000.0;75;25.0;1.0;9360
2021-07-05;Centre;185780.0;75;15.0;1.0;12385
2021-06-25;Centre;348000.0;75;35.0;1.0;9943
2021-06-30;Centre;338000.0;75;16.0;1.0;21125
2021-06-28;Centre;210000.0;75;13.0;1.0;16154
2021-07-02;Centre;180100.0;75;20.0;1.0;9005
2021-06-23;Centre;390000.0;75;29.0;1.0;13448
2021-12-16;Centre;174136.0;75;13.0;1.0;13395
2021-06-30;Centre;190110.0;75;15.0;1.0;12674
2021-06-30;Centre;250000.0;75;15.0;1.0;16667
2021-06-30;Centre;73000.0;75;16.0;1.0;4562
2021-07-05;Centre;242300.0;75;23.0;1.0;10535
2021-12-16;Centre;145000.0;75;15.0;1.0;9667
2021-06-25;Centre;312875.0;75;25.0;1.0;12515
2021-06-24;Centre;230000.0;75;17.0;1.0;13529
2021-07-19;Centre;345680.0;75;25.0;1.0;13827
2021-07-05;Centre;235000.0;75;17.0;1.0;13824
2021-07-15;Centre;465000.0;75;37.0;1.0;12568
2021-07-15;Centre;465000.0;75;44.0;1.0;10568
2021-06-14;Centre;123500.0;75;10.0;1.0;12350
2021-09-21;Centre;256082.0;75;23.0;1.0;11134
2021-06-25;Centre;257000.0;75;21.0;1.0;12238
2021-06-28;Centre;199000.0;75;18.0;1.0;11056
2021-06-29;Centre;338500.0;75;34.0;1.0;9956
2021-06-25;Centre;236800.0;75;30.0;1.0;7893
2021-07-06;Centre;322000.0;75;23.0;1.0;14000
2021-06-25;Centre;343000.0;75;25.0;1.0;13720
2021-07-15;Centre;265000.0;75;21.0;1.0;12619
2021-06-15;Centre;1300000.0;75;17.0;1.0;76471
2021-12-15;Centre;250000.0;75;19.0;1.0;13158
2021-06-10;Centre;250000.0;75;19.0;1.0;13158
2021-05-21;Centre;347000.0;75;28.0;1.0;12393
2021-06-14;Centre;163000.0;75;17.0;1.0;9588
2021-11-29;Centre;324150.0;75;17.0;1.0;19068
2021-06-25;Centre;8300.0;75;15.0;1.0;553
2021-06-25;Centre;6500.0;75;22.0;1.0;295
2021-07-09;Centre;240000.0;75;16.0;1.0;15000
2021-09-10;Centre;282000.0;75;16.0;1.0;17625
2021-06-15;Centre;335000.0;75;29.0;1.0;11552
2021-07-08;Centre;128000.0;75;10.0;1.0;12800
2021-06-29;Centre;186120.0;75;18.0;1.0;10340
2021-06-30;Centre;301575.0;75;30.0;1.0;10052
2021-07-02;Centre;240000.0;75;18.0;1.0;13333
2021-07-02;Centre;225000.0;75;17.0;1.0;13235
2021-09-15;Centre;227000.0;75;14.0;1.0;16214
2021-06-04;Centre;350000.0;75;25.0;1.0;14000
2021-07-13;Centre;370000.0;75;25.0;1.0;14800
2021-06-21;Centre;180000.0;75;26.0;1.0;6923
2021-06-29;Centre;335000.0;75;22.0;1.0;15227
2021-06-14;Centre;273000.0;75;30.0;1.0;9100
2021-05-27;Centre;100000.0;75;12.0;1.0;8333
2021-08-26;Centre;400.0;75;15.0;1.0;27
2021-09-22;Centre;625000.0;75;50.0;1.0;12500
2021-06-15;Centre;199000.0;75;16.0;1.0;12438
2021-05-31;Centre;173320.0;75;16.0;1.0;10832
2021-09-23;Centre;210000.0;75;20.0;1.0;10500
2021-06-29;Centre;280000.0;75;17.0;1.0;16471
2021-07-06;Centre;380000.0;75;27.0;1.0;14074
2021-12-14;Centre;371950.0;75;25.0;1.0;14878
2021-06-28;Centre;150000.0;75;16.0;1.0;9375
2021-06-08;Centre;325000.0;75;26.0;1.0;12500
2021-07-12;Centre;375000.0;75;28.0;1.0;13393
2021-07-09;Centre;249750.0;75;24.0;1.0;10406
2021-09-17;Centre;342250.0;75;30.0;1.0;11408
2021-09-09;Centre;290000.0;75;30.0;1.0;9667
2021-05-25;Centre;350000.0;75;30.0;1.0;11667
