Date mutation;Quartier;Valeur fonciere;Code departement;Surface reelle bati;Nombre pieces principales;Prix au m2 (Surface bati)
2021-06-11;Est-Nord;155000.0;75;14.0;1.0;11071
2021-02-05;Est-Nord;215000.0;75;16.0;1.0;13438
2021-01-29;Est-Nord;180200.0;75;20.0;1.0;9010
2021-07-20;Est-Nord;296730.0;75;38.0;1.0;7809
2021-07-15;Est-Nord;215000.0;75;16.0;1.0;13438
2021-02-15;Est-Nord;133000.0;75;22.0;1.0;6045
2021-07-13;Est-Nord;255000.0;75;26.0;1.0;9808
2021-07-13;Est-Nord;175000.0;75;21.0;1.0;8333
2021-02-09;Est-Nord;301600.0;75;26.0;1.0;11600
2021-10-13;Est-Nord;243000.0;75;16.0;1.0;15188
2021-07-20;Est-Nord;205000.0;75;18.0;1.0;11389
2021-06-17;Est-Nord;36600.0;75;20.0;1.0;1830
2021-06-17;Est-Nord;36600.0;75;27.0;1.0;1356
2021-06-17;Est-Nord;36600.0;75;22.0;1.0;1664
2021-06-25;Est-Nord;379100.0;75;35.0;1.0;10831
2021-06-17;Est-Nord;36600.0;75;21.0;1.0;1743
2021-07-12;Est-Nord;535000.0;75;54.0;1.0;9907
2021-06-17;Est-Nord;36600.0;75;21.0;1.0;1743
2021-01-26;Est-Nord;435000.0;75;10.0;1.0;43500
2021-07-20;Est-Nord;272000.0;75;27.0;1.0;10074
2021-01-19;Est-Nord;777500.0;75;11.0;1.0;70682
2021-02-19;Est-Nord;229110.0;75;17.0;1.0;13477
2021-02-03;Est-Nord;670800.0;75;15.0;1.0;44720
2021-02-01;Est-Nord;312000.0;75;26.0;1.0;12000
2021-02-26;Est-Nord;138000.0;75;12.0;1.0;11500
2021-07-02;Est-Nord;375000.0;75;38.0;1.0;9868
2021-07-21;Est-Nord;145000.0;75;10.0;1.0;14500
2021-02-04;Est-Nord;207000.0;75;14.0;1.0;14786
2021-02-08;Est-Nord;186200.0;75;17.0;1.0;10953
2021-02-01;Est-Nord;180000.0;75;9.0;1.0;20000
2021-07-02;Est-Nord;314000.0;75;28.0;1.0;11214
2021-10-13;Est-Nord;243000.0;75;15.0;1.0;16200
2021-01-29;Est-Nord;160000.0;75;17.0;1.0;9412
2021-07-01;Est-Nord;212000.0;75;17.0;1.0;12471
2021-07-15;Est-Nord;280000.0;75;27.0;1.0;10370
2021-06-17;Est-Nord;36600.0;75;22.0;1.0;1664
2021-01-28;Est-Nord;232180.0;75;18.0;1.0;12899
2021-02-15;Est-Nord;360000.0;75;16.0;1.0;22500
2021-06-30;Est-Nord;1022000.0;75;15.0;1.0;68133
2021-02-15;Est-Nord;360000.0;75;18.0;1.0;20000
2021-02-01;Est-Nord;130000.0;75;10.0;1.0;13000
2021-06-17;Est-Nord;36600.0;75;21.0;1.0;1743
2021-07-02;Est-Nord;260000.0;75;8.0;1.0;32500
2021-01-26;Est-Nord;65000.0;75;15.0;1.0;4333
2021-09-24;Est-Nord;320000.0;75;30.0;1.0;10667
2021-06-28;Est-Nord;159000.0;75;15.0;1.0;10600
2021-02-03;Est-Nord;14000.0;75;20.0;1.0;700
2021-01-26;Est-Nord;80000.0;75;12.0;1.0;6667
2021-01-28;Est-Nord;80000.0;75;24.0;1.0;3333
2021-01-25;Est-Nord;130000.0;75;15.0;1.0;8667
2021-01-13;Est-Nord;205000.0;75;18.0;1.0;11389
2021-07-07;Est-Nord;256520.0;75;14.0;1.0;18323
2021-06-23;Est-Nord;517000.0;75;32.0;1.0;16156
2021-09-30;Est-Nord;180000.0;75;17.0;1.0;10588
2021-07-09;Est-Nord;111650.0;75;12.0;1.0;9304
2021-06-28;Est-Nord;166000.0;75;19.0;1.0;8737
2021-07-16;Est-Nord;267960.0;75;27.0;1.0;9924
2021-01-29;Est-Nord;150000.0;75;11.0;1.0;13636
2021-01-26;Est-Nord;150000.0;75;13.0;1.0;11538
2021-07-20;Est-Nord;90450.0;75;10.0;1.0;9045
2021-02-02;Est-Nord;160000.0;75;14.0;1.0;11429
2021-07-06;Est-Nord;327500.0;75;20.0;1.0;16375
2021-07-15;Est-Nord;112500.0;75;15.0;1.0;7500
2021-06-30;Est-Nord;392700.0;75;40.0;1.0;9818
2021-07-12;Est-Nord;135000.0;75;13.0;1.0;10385
2021-07-22;Est-Nord;251264.0;75;22.0;1.0;11421
2021-02-02;Est-Nord;125500.0;75;8.0;1.0;15688
2021-10-06;Est-Nord;126500.0;75;13.0;1.0;9731
2021-01-26;Est-Nord;287000.0;75;23.0;1.0;12478
2021-09-30;Est-Nord;190000.0;75;19.0;1.0;10000
2021-07-07;Est-Nord;184700.0;75;16.0;1.0;11544
2021-02-02;Est-Nord;5000.0;75;21.0;1.0;238
2021-02-03;Est-Nord;189000.0;75;13.0;1.0;14538
2021-07-16;Est-Nord;132000.0;75;20.0;1.0;6600
2021-07-16;Est-Nord;115000.0;75;9.0;1.0;12778
2021-02-05;Est-Nord;189000.0;75;20.0;1.0;9450
2021-07-16;Est-Nord;155000.0;75;25.0;1.0;6200
2021-07-01;Est-Nord;326200.0;75;26.0;1.0;12546
2021-01-19;Est-Nord;333175.0;75;30.0;1.0;11106
2021-07-06;Est-Nord;315000.0;75;12.0;1.0;26250
2021-07-06;Est-Nord;315000.0;75;12.0;1.0;26250
2021-02-09;Est-Nord;126500.0;75;20.0;1.0;6325
2021-07-05;Est-Nord;262000.0;75;28.0;1.0;9357
2021-01-20;Est-Nord;297040.0;75;25.0;1.0;11882
2021-07-09;Est-Nord;358330.0;75;32.0;1.0;11198
2021-07-15;Est-Nord;235000.0;75;14.0;1.0;16786
2021-09-30;Est-Nord;322000.0;75;31.0;1.0;10387
2021-07-06;Est-Nord;180000.0;75;19.0;1.0;9474
2021-07-19;Est-Nord;165020.0;75;14.0;1.0;11787
2021-03-08;Est-Nord;93500.0;75;15.0;1.0;6233
2021-06-21;Est-Nord;207500.0;75;21.0;1.0;9881
2021-06-30;Est-Nord;1850000.0;75;25.0;1.0;74000
2021-07-08;Est-Nord;160000.0;75;15.0;1.0;10667
2021-03-01;Est-Nord;370000.0;75;20.0;1.0;18500
2021-02-23;Est-Nord;122000.0;75;11.0;1.0;11091
2021-07-06;Est-Nord;191203.0;75;15.0;1.0;12747
2021-02-15;Est-Nord;538000.0;75;14.0;1.0;38429
2021-07-13;Est-Nord;342000.0;75;26.0;1.0;13154
2021-10-13;Est-Nord;178000.0;75;14.0;1.0;12714
2021-03-12;Est-Nord;200000.0;75;8.0;1.0;25000
2021-03-12;Est-Nord;200000.0;75;12.0;1.0;16667
2021-06-30;Est-Nord;245000.0;75;23.0;1.0;10652
2021-02-26;Est-Nord;1154000.0;75;40.0;1.0;28850
2021-06-24;Est-Nord;10000.0;75;19.0;1.0;526
2021-02-26;Est-Nord;1154000.0;75;32.0;1.0;36062
2021-03-05;Est-Nord;560000.0;75;35.0;1.0;16000
2021-03-09;Est-Nord;165380.0;75;13.0;1.0;12722
2021-03-12;Est-Nord;200000.0;75;8.0;1.0;25000
2021-06-29;Est-Nord;135500.0;75;10.0;1.0;13550
2021-06-29;Est-Nord;231000.0;75;24.0;1.0;9625
2021-09-28;Est-Nord;192000.0;75;22.0;1.0;8727
2021-06-28;Est-Nord;237500.0;75;26.0;1.0;9135
2021-06-28;Est-Nord;270000.0;75;22.0;1.0;12273
2021-10-06;Est-Nord;396700.0;75;30.0;1.0;13223
2021-07-15;Est-Nord;75000.0;75;10.0;1.0;7500
2021-09-30;Est-Nord;212785.0;75;25.0;1.0;8511
2021-07-05;Est-Nord;247000.0;75;25.0;1.0;9880
2021-07-05;Est-Nord;1500.0;75;21.0;1.0;71
2021-10-11;Est-Nord;170000.0;75;17.0;1.0;10000
2021-03-11;Est-Nord;200000.0;75;15.0;1.0;13333
2021-02-19;Est-Nord;296500.0;75;29.0;1.0;10224
2021-09-20;Est-Nord;217500.0;75;21.0;1.0;10357
2021-06-24;Est-Nord;240000.0;75;22.0;1.0;10909
2021-03-05;Est-Nord;424000.0;75;25.0;1.0;16960
2021-03-08;Est-Nord;165000.0;75;18.0;1.0;9167
2021-06-29;Est-Nord;250000.0;75;28.0;1.0;8929
2021-02-26;Est-Nord;165000.0;75;15.0;1.0;11000
2021-06-21;Est-Nord;83000.0;75;12.0;1.0;6917
2021-03-10;Est-Nord;200000.0;75;13.0;1.0;15385
2021-07-09;Est-Nord;390000.0;75;21.0;1.0;18571
2021-02-12;Est-Nord;186000.0;75;17.0;1.0;10941
2021-03-03;Est-Nord;370000.0;75;30.0;1.0;12333
2021-07-13;Est-Nord;145000.0;75;12.0;1.0;12083
2021-06-24;Est-Nord;1000.0;75;10.0;1.0;100
2021-06-24;Est-Nord;1000.0;75;18.0;1.0;56
2021-02-15;Est-Nord;268000.0;75;27.0;1.0;9926
2021-02-12;Est-Nord;350000.0;75;15.0;1.0;23333
2021-06-24;Est-Nord;1000.0;75;18.0;1.0;56
2021-02-12;Est-Nord;350000.0;75;15.0;1.0;23333
2021-06-24;Est-Nord;1000.0;75;28.0;1.0;36
2021-06-24;Est-Nord;1000.0;75;18.0;1.0;56
2021-02-16;Est-Nord;165000.0;75;18.0;1.0;9167
2021-10-04;Est-Nord;200000.0;75;19.0;1.0;10526
