Date mutation;Quartier;Valeur fonciere;Code departement;Surface reelle bati;Nombre pieces principales;Prix au m2 (Surface bati)
2021-11-15;Ouest-Nord;1572800.0;75;32.0;1.0;49150
2021-09-15;Ouest-Nord;110000.0;75;8.0;1.0;13750
2021-05-28;Ouest-Nord;262000.0;75;24.0;1.0;10917
2021-06-21;Ouest-Nord;856950.0;75;25.0;1.0;34278
2021-09-02;Ouest-Nord;177000.0;75;20.0;1.0;8850
2021-09-22;Ouest-Nord;270000.0;75;14.0;1.0;19286
2021-09-16;Ouest-Nord;172400.0;75;14.0;1.0;12314
2021-03-04;Ouest-Nord;170000.0;75;17.0;1.0;10000
2021-09-16;Ouest-Nord;140000.0;75;18.0;1.0;7778
2021-06-09;Ouest-Nord;305100.0;75;28.0;1.0;10896
2021-02-26;Ouest-Nord;496000.0;75;14.0;1.0;35429
2021-12-17;Ouest-Nord;105000.0;75;11.0;1.0;9545
2021-09-22;Ouest-Nord;816000.0;75;30.0;1.0;27200
2021-02-26;Ouest-Nord;70000.0;75;10.0;1.0;7000
2021-06-17;Ouest-Nord;400000.0;75;18.0;1.0;22222
2021-09-15;Ouest-Nord;148000.0;75;12.0;1.0;12333
2021-05-28;Ouest-Nord;132000.0;75;15.0;1.0;8800
2021-09-23;Ouest-Nord;143000.0;75;14.0;1.0;10214
2021-02-26;Ouest-Nord;395000.0;75;12.0;1.0;32917
2021-09-27;Ouest-Nord;228200.0;75;22.0;1.0;10373
2021-09-20;Ouest-Nord;176900.0;75;20.0;1.0;8845
2021-06-15;Ouest-Nord;220000.0;75;28.0;1.0;7857
2021-09-14;Ouest-Nord;243000.0;75;26.0;1.0;9346
2021-05-28;Ouest-Nord;253200.0;75;15.0;1.0;16880
2021-02-24;Ouest-Nord;135000.0;75;12.0;1.0;11250
2021-09-16;Ouest-Nord;475000.0;75;18.0;1.0;26389
2021-09-29;Ouest-Nord;126500.0;75;11.0;1.0;11500
2021-03-15;Ouest-Nord;4640.0;75;32.0;1.0;145
2021-09-01;Ouest-Nord;129000.0;75;12.0;1.0;10750
2021-06-02;Ouest-Nord;297550.0;75;26.0;1.0;11444
2021-06-10;Ouest-Nord;182000.0;75;18.0;1.0;10111
2021-05-18;Ouest-Nord;157000.0;75;19.0;1.0;8263
2021-09-25;Ouest-Nord;347000.0;75;26.0;1.0;13346
2021-06-08;Ouest-Nord;190000.0;75;19.0;1.0;10000
2021-05-26;Ouest-Nord;115000.0;75;11.0;1.0;10455
2021-06-04;Ouest-Nord;160000.0;75;13.0;1.0;12308
2021-03-09;Ouest-Nord;600.0;75;27.0;1.0;22
2021-06-01;Ouest-Nord;225000.0;75;16.0;1.0;14062
2021-03-05;Ouest-Nord;400.0;75;25.0;1.0;16
2021-05-31;Ouest-Nord;1000.0;75;10.0;1.0;100
2021-03-11;Ouest-Nord;470000.0;75;39.0;1.0;12051
2021-02-15;Ouest-Nord;290000.0;75;27.0;1.0;10741
2021-09-24;Ouest-Nord;203000.0;75;23.0;1.0;8826
2021-09-10;Ouest-Nord;27273.0;75;36.0;1.0;758
2021-09-01;Ouest-Nord;201600.0;75;18.0;1.0;11200
2021-03-04;Ouest-Nord;235000.0;75;22.0;1.0;10682
2021-09-09;Ouest-Nord;900000.0;75;33.0;1.0;27273
2021-02-26;Ouest-Nord;117000.0;75;12.0;1.0;9750
2021-09-15;Ouest-Nord;345000.0;75;27.0;1.0;12778
2021-06-25;Ouest-Nord;293630.0;75;22.0;1.0;13347
2021-02-17;Ouest-Nord;70000.0;75;22.0;1.0;3182
2021-09-08;Ouest-Nord;223700.0;75;27.0;1.0;8285
2021-09-16;Ouest-Nord;175780.0;75;15.0;1.0;11719
2021-06-18;Ouest-Nord;200000.0;75;16.0;1.0;12500
2021-09-17;Ouest-Nord;190260.0;75;22.0;1.0;8648
2021-12-04;Ouest-Nord;303000.0;75;36.0;1.0;8417
2021-09-10;Ouest-Nord;216000.0;75;19.0;1.0;11368
2021-06-10;Ouest-Nord;230000.0;75;20.0;1.0;11500
2021-03-04;Ouest-Nord;59000.0;75;12.0;1.0;4917
2021-06-18;Ouest-Nord;304000.0;75;29.0;1.0;10483
2021-09-14;Ouest-Nord;245000.0;75;25.0;1.0;9800
2021-09-13;Ouest-Nord;249180.0;75;29.0;1.0;8592
2021-06-18;Ouest-Nord;162500.0;75;18.0;1.0;9028
2021-06-10;Ouest-Nord;516790.0;75;45.0;1.0;11484
2021-09-15;Ouest-Nord;340000.0;75;25.0;1.0;13600
2021-09-20;Ouest-Nord;148000.0;75;25.0;1.0;5920
2021-06-01;Ouest-Nord;300000.0;75;25.0;1.0;12000
2021-06-17;Ouest-Nord;250000.0;75;27.0;1.0;9259
2021-08-30;Ouest-Nord;190000.0;75;25.0;1.0;7600
2021-06-17;Ouest-Nord;340000.0;75;26.0;1.0;13077
2021-06-17;Ouest-Nord;125000.0;75;11.0;1.0;11364
2021-09-17;Ouest-Nord;131000.0;75;10.0;1.0;13100
2021-06-17;Ouest-Nord;573850.0;75;29.0;1.0;19788
2021-09-16;Ouest-Nord;138000.0;75;16.0;1.0;8625
2021-06-11;Ouest-Nord;215000.0;75;20.0;1.0;10750
2021-02-26;Ouest-Nord;160000.0;75;13.0;1.0;12308
2021-09-07;Ouest-Nord;305000.0;75;27.0;1.0;11296
2021-06-16;Ouest-Nord;287000.0;75;28.0;1.0;10250
2021-03-08;Ouest-Nord;250000.0;75;25.0;1.0;10000
2021-03-02;Ouest-Nord;340000.0;75;32.0;1.0;10625
2021-06-10;Ouest-Nord;420000.0;75;38.0;1.0;11053
2021-06-04;Ouest-Nord;178350.0;75;17.0;1.0;10491
2021-02-15;Ouest-Nord;345000.0;75;35.0;1.0;9857
2021-06-15;Ouest-Nord;193720.0;75;17.0;1.0;11395
2021-06-15;Ouest-Nord;320000.0;75;29.0;1.0;11034
2021-09-09;Ouest-Nord;231000.0;75;20.0;1.0;11550
2021-09-22;Ouest-Nord;1000.0;75;14.0;1.0;71
2021-09-09;Ouest-Nord;190000.0;75;15.0;1.0;12667
2021-06-09;Ouest-Nord;173000.0;75;12.0;1.0;14417
2021-09-27;Ouest-Nord;284000.0;75;28.0;1.0;10143
2021-06-02;Ouest-Nord;130000.0;75;18.0;1.0;7222
2021-09-30;Ouest-Nord;120000.0;75;11.0;1.0;10909
2021-09-28;Ouest-Nord;300000.0;75;31.0;1.0;9677
2021-09-20;Ouest-Nord;159000.0;75;15.0;1.0;10600
2021-06-16;Ouest-Nord;170000.0;75;17.0;1.0;10000
2021-09-09;Ouest-Nord;105000.0;75;25.0;1.0;4200
2021-05-27;Ouest-Nord;6000.0;75;24.0;1.0;250
2021-09-13;Ouest-Nord;105000.0;75;30.0;1.0;3500
2021-09-13;Ouest-Nord;535000.0;75;42.0;1.0;12738
2021-02-24;Ouest-Nord;640000.0;75;8.0;1.0;80000
2021-09-28;Ouest-Nord;133000.0;75;13.0;1.0;10231
2021-05-28;Ouest-Nord;193000.0;75;20.0;1.0;9650
2021-12-16;Ouest-Nord;203755.0;75;17.0;1.0;11986
2021-09-24;Ouest-Nord;200000.0;75;14.0;1.0;14286
2021-09-24;Ouest-Nord;218009.0;75;16.0;1.0;13626
2021-06-14;Ouest-Nord;72000.0;75;12.0;1.0;6000
2021-09-14;Ouest-Nord;305650.0;75;27.0;1.0;11320
2021-06-10;Ouest-Nord;338000.0;75;32.0;1.0;10562
2021-09-28;Ouest-Nord;96000.0;75;14.0;1.0;6857
2021-12-10;Ouest-Nord;190000.0;75;18.0;1.0;10556
2021-09-29;Ouest-Nord;155700.0;75;16.0;1.0;9731
2021-09-22;Ouest-Nord;273000.0;75;41.0;1.0;6659
2021-12-06;Ouest-Nord;215000.0;75;25.0;1.0;8600
2021-06-10;Ouest-Nord;360000.0;75;45.0;1.0;8000
2021-09-21;Ouest-Nord;372000.0;75;11.0;1.0;33818
2021-05-21;Ouest-Nord;345000.0;75;30.0;1.0;11500
2021-03-15;Ouest-Nord;230500.0;75;23.0;1.0;10022
2021-09-14;Ouest-Nord;170000.0;75;15.0;1.0;11333
2021-06-04;Ouest-Nord;228000.0;75;21.0;1.0;10857
2021-05-27;Ouest-Nord;80000.0;75;9.0;1.0;8889
2021-06-14;Ouest-Nord;286710.0;75;26.0;1.0;11027
2021-06-17;Ouest-Nord;225000.0;75;15.0;1.0;15000
2021-06-04;Ouest-Nord;246670.0;75;27.0;1.0;9136
2021-10-01;Ouest-Nord;175000.0;75;14.0;1.0;12500
2021-12-15;Ouest-Nord;201500.0;75;20.0;1.0;10075
2021-09-16;Ouest-Nord;300000.0;75;36.0;1.0;8333
2021-09-27;Ouest-Nord;132000.0;75;10.0;1.0;13200
2021-06-16;Ouest-Nord;175000.0;75;22.0;1.0;7955
2021-03-11;Ouest-Nord;242000.0;75;28.0;1.0;8643
2021-06-15;Ouest-Nord;263000.0;75;28.0;1.0;9393
2021-06-07;Ouest-Nord;1130000.0;75;27.0;1.0;41852
2021-06-08;Ouest-Nord;280000.0;75;22.0;1.0;12727
2021-05-26;Ouest-Nord;726300.0;75;23.0;1.0;31578
2021-06-04;Ouest-Nord;900000.0;75;15.0;1.0;60000
2021-12-14;Ouest-Nord;117050.0;75;12.0;1.0;9754
2021-03-11;Ouest-Nord;318400.0;75;31.0;1.0;10271
2021-06-03;Ouest-Nord;185000.0;75;16.0;1.0;11562
2021-03-30;Ouest-Nord;186000.0;75;19.0;1.0;9789
2021-06-08;Ouest-Nord;190000.0;75;22.0;1.0;8636
2021-06-07;Ouest-Nord;104000.0;75;18.0;1.0;5778
2021-12-09;Ouest-Nord;324150.0;75;40.0;1.0;8104
2021-03-19;Ouest-Nord;200000.0;75;17.0;1.0;11765
2021-12-20;Ouest-Nord;1314000.0;75;53.0;1.0;24792
2021-05-31;Ouest-Nord;345000.0;75;31.0;1.0;11129
2021-06-17;Ouest-Nord;357412.1;75;32.0;1.0;11169
2021-12-03;Ouest-Nord;175000.0;75;19.0;1.0;9211
2021-09-28;Ouest-Nord;176500.0;75;16.0;1.0;11031
2021-05-28;Ouest-Nord;18000.0;75;22.0;1.0;818
2021-09-15;Ouest-Nord;110000.0;75;9.0;1.0;12222
2021-06-16;Ouest-Nord;353000.0;75;14.0;1.0;25214
2021-09-02;Ouest-Nord;155000.0;75;19.0;1.0;8158
2021-03-04;Ouest-Nord;224000.0;75;21.0;1.0;10667
2021-12-20;Ouest-Nord;230000.0;75;19.0;1.0;12105
2021-06-04;Ouest-Nord;499800.0;75;47.0;1.0;10634
2021-09-22;Ouest-Nord;176500.0;75;16.0;1.0;11031
2021-05-20;Ouest-Nord;208000.0;75;24.0;1.0;8667
2021-06-08;Ouest-Nord;500000.0;75;36.0;1.0;13889
2021-06-18;Ouest-Nord;278000.0;75;30.0;1.0;9267
2021-09-14;Ouest-Nord;247000.0;75;26.0;1.0;9500
2021-09-20;Ouest-Nord;339000.0;75;35.0;1.0;9686
2021-06-21;Ouest-Nord;110000.0;75;9.0;1.0;12222
2021-06-11;Ouest-Nord;575000.0;75;25.0;1.0;23000
2021-06-15;Ouest-Nord;1050000.0;75;68.0;1.0;15441
2021-06-18;Ouest-Nord;320000.0;75;28.0;1.0;11429
2021-09-21;Ouest-Nord;225000.0;75;21.0;1.0;10714
2021-03-01;Ouest-Nord;174000.0;75;16.0;1.0;10875
2021-03-11;Ouest-Nord;234000.0;75;18.0;1.0;13000
2021-06-10;Ouest-Nord;1050000.0;75;20.0;1.0;52500
2021-09-24;Ouest-Nord;520000.0;75;11.0;1.0;47273
2021-03-15;Ouest-Nord;277000.0;75;31.0;1.0;8935
2021-06-18;Ouest-Nord;88210.0;75;8.0;1.0;11026
2021-06-07;Ouest-Nord;212000.0;75;18.0;1.0;11778
2021-06-08;Ouest-Nord;320000.0;75;41.0;1.0;7805
2021-09-13;Ouest-Nord;402000.0;75;30.0;1.0;13400
2021-09-13;Ouest-Nord;117000.0;75;12.0;1.0;9750
2021-06-25;Ouest-Nord;125000.0;75;10.0;1.0;12500
2021-09-21;Ouest-Nord;95000.0;75;11.0;1.0;8636
2021-06-18;Ouest-Nord;125000.0;75;11.0;1.0;11364
2021-06-21;Ouest-Nord;515610.0;75;23.0;1.0;22418
2021-06-03;Ouest-Nord;165000.0;75;14.0;1.0;11786
2021-06-04;Ouest-Nord;432250.0;75;10.0;1.0;43225
2021-12-23;Ouest-Nord;346200.0;75;35.0;1.0;9891
2021-06-04;Ouest-Nord;432250.0;75;8.0;1.0;54031
2021-06-04;Ouest-Nord;178600.0;75;12.0;1.0;14883
2021-09-20;Ouest-Nord;1630300.0;75;36.0;1.0;45286
2021-09-20;Ouest-Nord;1630300.0;75;120.0;1.0;13586
2021-12-10;Ouest-Nord;148880.0;75;18.0;1.0;8271
2021-06-24;Ouest-Nord;235125.0;75;24.0;1.0;9797
2021-02-18;Ouest-Nord;180000.0;75;15.0;1.0;12000
2021-07-01;Ouest-Nord;300000.0;75;28.0;1.0;10714
2021-06-22;Ouest-Nord;15000.0;75;15.0;1.0;1000
2021-06-09;Ouest-Nord;125600.0;75;12.0;1.0;10467
2021-06-30;Ouest-Nord;190000.0;75;19.0;1.0;10000
2021-02-03;Ouest-Nord;405000.0;75;34.0;1.0;11912
2021-06-08;Ouest-Nord;157000.0;75;12.0;1.0;13083
2021-02-05;Ouest-Nord;145000.0;75;9.0;1.0;16111
2021-12-20;Ouest-Nord;330000.0;75;24.0;1.0;13750
2021-11-23;Ouest-Nord;400000.0;75;40.0;1.0;10000
2021-09-08;Ouest-Nord;230000.0;75;29.0;1.0;7931
2021-02-10;Ouest-Nord;185000.0;75;36.0;1.0;5139
2021-09-02;Ouest-Nord;204000.0;75;16.0;1.0;12750
2021-06-21;Ouest-Nord;272000.0;75;20.0;1.0;13600
2021-06-17;Ouest-Nord;151000.0;75;15.0;1.0;10067
2021-06-24;Ouest-Nord;250000.0;75;25.0;1.0;10000
2021-02-10;Ouest-Nord;300000.0;75;26.0;1.0;11538
2021-02-25;Ouest-Nord;390000.0;75;37.0;1.0;10541
2021-09-17;Ouest-Nord;700000.0;75;13.0;1.0;53846
2021-02-23;Ouest-Nord;725000.0;75;19.0;1.0;38158
2021-09-17;Ouest-Nord;700000.0;75;28.0;1.0;25000
2021-06-29;Ouest-Nord;180952.0;75;16.0;1.0;11310
2021-09-17;Ouest-Nord;700000.0;75;23.0;1.0;30435
2021-06-23;Ouest-Nord;176000.0;75;10.0;1.0;17600
2021-09-17;Ouest-Nord;700000.0;75;24.0;1.0;29167
2021-02-17;Ouest-Nord;377358.5;75;38.0;1.0;9930
2021-06-23;Ouest-Nord;250000.0;75;22.0;1.0;11364
2021-02-17;Ouest-Nord;204600.0;75;18.0;1.0;11367
2021-02-09;Ouest-Nord;345000.0;75;28.0;1.0;12321
2021-06-24;Ouest-Nord;89000.0;75;15.0;1.0;5933
2021-06-23;Ouest-Nord;393000.0;75;41.0;1.0;9585
2021-09-15;Ouest-Nord;301274.0;75;27.0;1.0;11158
2021-06-07;Ouest-Nord;105600.0;75;12.0;1.0;8800
2021-08-27;Ouest-Nord;119859.0;75;18.0;1.0;6659
2021-12-28;Ouest-Nord;470000.0;75;17.0;1.0;27647
2021-09-08;Ouest-Nord;196300.0;75;22.0;1.0;8923
2021-12-22;Ouest-Nord;285000.0;75;24.0;1.0;11875
2021-06-29;Ouest-Nord;257480.0;75;23.0;1.0;11195
2021-06-29;Ouest-Nord;460000.0;75;43.0;1.0;10698
2021-09-08;Ouest-Nord;121904.0;75;12.0;1.0;10159
2021-09-20;Ouest-Nord;190000.0;75;16.0;1.0;11875
2021-02-17;Ouest-Nord;2880000.0;75;60.0;1.0;48000
2021-09-03;Ouest-Nord;75000.0;75;10.0;1.0;7500
2021-09-14;Ouest-Nord;178257.0;75;15.0;1.0;11884
2021-07-02;Ouest-Nord;290000.0;75;26.0;1.0;11154
2021-06-10;Ouest-Nord;150000.0;75;12.0;1.0;12500
2021-12-27;Ouest-Nord;650000.0;75;28.0;1.0;23214
2021-06-18;Ouest-Nord;230000.0;75;20.0;1.0;11500
2021-12-22;Ouest-Nord;86600.0;75;16.0;1.0;5412
2021-06-11;Ouest-Nord;150000.0;75;15.0;1.0;10000
2021-09-15;Ouest-Nord;114500.0;75;12.0;1.0;9542
2021-09-14;Ouest-Nord;82600.0;75;9.0;1.0;9178
2021-06-23;Ouest-Nord;150000.0;75;11.0;1.0;13636
2021-09-07;Ouest-Nord;253500.0;75;19.0;1.0;13342
2021-12-14;Ouest-Nord;380000.0;75;32.0;1.0;11875
