Date mutation;Quartier;Valeur fonciere;Code departement;Surface reelle bati;Nombre pieces principales;Prix au m2 (Surface bati)
2021-03-24;Est-Sud;263800.0;75;23.0;1.0;11470
2021-08-24;Est-Sud;242820.0;75;31.0;1.0;7833
2021-08-10;Est-Sud;155000.0;75;20.0;1.0;7750
2021-07-26;Est-Sud;165000.0;75;14.0;1.0;11786
2021-11-22;Est-Sud;217000.0;75;15.0;1.0;14467
2021-08-31;Est-Sud;185000.0;75;16.0;1.0;11562
2021-01-14;Est-Sud;360000.0;75;35.0;1.0;10286
2021-08-12;Est-Sud;941463.0;75;19.0;1.0;49551
2021-08-12;Est-Sud;941463.0;75;16.0;1.0;58841
2021-08-12;Est-Sud;941463.0;75;20.0;1.0;47073
2021-01-26;Est-Sud;296000.0;75;21.0;1.0;14095
2021-11-19;Est-Sud;354000.0;75;35.0;1.0;10114
2021-11-26;Est-Sud;194000.0;75;21.0;1.0;9238
2021-11-09;Est-Sud;161500.0;75;19.0;1.0;8500
2021-08-09;Est-Sud;456555.0;75;17.0;1.0;26856
2021-01-14;Est-Sud;475000.0;75;44.0;1.0;10795
2021-08-24;Est-Sud;235000.0;75;36.0;1.0;6528
2021-11-19;Est-Sud;1075000.0;75;96.0;1.0;11198
2021-01-15;Est-Sud;237100.0;75;24.0;1.0;9879
2021-08-10;Est-Sud;324000.0;75;37.0;1.0;8757
2021-08-04;Est-Sud;520000.0;75;44.0;1.0;11818
2021-08-12;Est-Sud;120000.0;75;13.0;1.0;9231
2021-11-19;Est-Sud;250000.0;75;26.0;1.0;9615
2021-01-21;Est-Sud;253000.0;75;20.0;1.0;12650
2021-12-02;Est-Sud;136000.0;75;12.0;1.0;11333
2021-08-05;Est-Sud;470000.0;75;35.0;1.0;13429
2021-01-14;Est-Sud;120000.0;75;11.0;1.0;10909
2021-01-11;Est-Sud;314500.0;75;35.0;1.0;8986
2021-01-11;Est-Sud;368435.0;75;15.0;1.0;24562
2021-08-03;Est-Sud;250000.0;75;29.0;1.0;8621
2021-08-25;Est-Sud;190500.0;75;20.0;1.0;9525
2021-01-11;Est-Sud;245000.0;75;37.0;1.0;6622
2021-09-03;Est-Sud;155000.0;75;17.0;1.0;9118
2021-11-08;Est-Sud;148000.0;75;14.0;1.0;10571
2021-09-02;Est-Sud;319300.0;75;29.0;1.0;11010
2021-02-04;Est-Sud;316000.0;75;28.0;1.0;11286
2021-01-05;Est-Sud;136500.0;75;10.0;1.0;13650
2021-11-26;Est-Sud;170000.0;75;15.0;1.0;11333
2021-01-05;Est-Sud;237000.0;75;18.0;1.0;13167
2021-06-03;Est-Sud;198470.0;75;18.0;1.0;11026
2021-01-05;Est-Sud;140000.0;75;9.0;1.0;15556
2021-01-20;Est-Sud;235000.0;75;25.0;1.0;9400
2021-08-26;Est-Sud;866000.0;75;10.0;1.0;86600
2021-11-16;Est-Sud;130000.0;75;12.0;1.0;10833
2021-11-17;Est-Sud;170000.0;75;24.0;1.0;7083
2021-08-30;Est-Sud;299000.0;75;28.0;1.0;10679
2021-08-03;Est-Sud;195000.0;75;18.0;1.0;10833
2021-08-17;Est-Sud;315000.0;75;37.0;1.0;8514
2021-02-05;Est-Sud;260000.0;75;20.0;1.0;13000
2021-11-23;Est-Sud;206820.0;75;22.0;1.0;9401
2021-11-16;Est-Sud;130000.0;75;51.0;1.0;2549
2021-01-15;Est-Sud;190000.0;75;21.0;1.0;9048
2021-08-26;Est-Sud;232200.0;75;23.0;1.0;10096
2021-11-26;Est-Sud;194876.0;75;20.0;1.0;9744
2021-08-31;Est-Sud;410000.0;75;40.0;1.0;10250
2021-11-19;Est-Sud;183520.0;75;21.0;1.0;8739
2021-08-31;Est-Sud;296200.0;75;20.0;1.0;14810
2021-12-07;Est-Sud;183000.0;75;22.0;1.0;8318
2021-08-25;Est-Sud;180000.0;75;19.0;1.0;9474
2021-07-23;Est-Sud;1.0;75;12.0;1.0;0
2021-07-23;Est-Sud;1.0;75;17.0;1.0;0
2021-01-25;Est-Sud;295000.0;75;26.0;1.0;11346
2021-07-23;Est-Sud;1.0;75;17.0;1.0;0
2021-01-20;Est-Sud;280000.0;75;25.0;1.0;11200
2021-07-23;Est-Sud;1.0;75;17.0;1.0;0
2021-07-23;Est-Sud;1.0;75;17.0;1.0;0
2021-07-23;Est-Sud;1.0;75;10.0;1.0;0
2021-07-23;Est-Sud;1.0;75;17.0;1.0;0
2021-07-23;Est-Sud;1.0;75;17.0;1.0;0
2021-07-23;Est-Sud;1.0;75;12.0;1.0;0
2021-11-29;Est-Sud;370000.0;75;36.0;1.0;10278
2021-07-23;Est-Sud;1.0;75;10.0;1.0;0
2021-07-23;Est-Sud;1.0;75;8.0;1.0;0
2021-12-03;Est-Sud;300000.0;75;27.0;1.0;11111
2021-01-11;Est-Sud;643700.0;75;28.0;1.0;22989
2021-01-14;Est-Sud;269150.0;75;24.0;1.0;11215
2021-01-29;Est-Sud;155364.7;75;10.0;1.0;15536
2021-07-23;Est-Sud;1.0;75;10.0;1.0;0
2021-07-23;Est-Sud;1.0;75;10.0;1.0;0
2021-11-19;Est-Sud;345000.0;75;30.0;1.0;11500
2021-01-21;Est-Sud;270000.0;75;8.0;1.0;33750
2021-07-23;Est-Sud;1.0;75;10.0;1.0;0
2021-07-23;Est-Sud;1.0;75;17.0;1.0;0
2021-07-29;Est-Sud;260000.0;75;17.0;1.0;15294
2021-07-23;Est-Sud;1.0;75;15.0;1.0;0
2021-08-05;Est-Sud;330000.0;75;32.0;1.0;10312
2021-01-29;Est-Sud;152000.0;75;16.0;1.0;9500
2021-01-21;Est-Sud;159000.0;75;24.0;1.0;6625
2021-11-29;Est-Sud;120000.0;75;10.0;1.0;12000
2021-01-07;Est-Sud;186543.0;75;19.0;1.0;9818
2021-08-27;Est-Sud;265000.0;75;24.0;1.0;11042
2021-11-10;Est-Sud;257900.0;75;21.0;1.0;12281
2021-11-23;Est-Sud;300000.0;75;27.0;1.0;11111
2021-01-22;Est-Sud;390000.0;75;10.0;1.0;39000
2021-07-30;Est-Sud;200210.0;75;17.0;1.0;11777
2021-08-06;Est-Sud;795000.0;75;77.0;1.0;10325
2021-08-03;Est-Sud;249000.0;75;20.0;1.0;12450
2021-08-30;Est-Sud;395353.22;75;23.0;1.0;17189
2021-01-15;Est-Sud;285000.0;75;30.0;1.0;9500
2021-11-26;Est-Sud;156900.0;75;16.0;1.0;9806
2021-07-23;Est-Sud;1.0;75;17.0;1.0;0
2021-01-07;Est-Sud;120000.0;75;15.0;1.0;8000
2021-12-01;Est-Sud;125000.0;75;13.0;1.0;9615
2021-07-23;Est-Sud;1.0;75;17.0;1.0;0
2021-12-06;Est-Sud;165000.0;75;17.0;1.0;9706
2021-01-29;Est-Sud;280000.0;75;22.0;1.0;12727
2021-07-23;Est-Sud;1.0;75;15.0;1.0;0
2021-07-23;Est-Sud;1.0;75;17.0;1.0;0
2021-07-23;Est-Sud;1.0;75;32.0;1.0;0
2021-07-23;Est-Sud;1.0;75;17.0;1.0;0
2021-01-08;Est-Sud;188000.0;75;14.0;1.0;13429
2021-07-23;Est-Sud;1.0;75;12.0;1.0;0
2021-07-23;Est-Sud;1.0;75;15.0;1.0;0
2021-07-23;Est-Sud;1.0;75;17.0;1.0;0
2021-07-30;Est-Sud;436500.0;75;18.0;1.0;24250
2021-11-29;Est-Sud;81000.0;75;29.0;1.0;2793
2021-01-15;Est-Sud;282000.0;75;27.0;1.0;10444
2021-09-10;Est-Sud;488491.0;75;19.0;1.0;25710
2021-09-10;Est-Sud;488491.0;75;19.0;1.0;25710
2021-09-10;Est-Sud;488491.0;75;19.0;1.0;25710
2021-09-10;Est-Sud;488491.0;75;17.0;1.0;28735
2021-09-10;Est-Sud;488491.0;75;19.0;1.0;25710
