Date mutation;Quartier;Valeur fonciere;Code departement;Surface reelle bati;Nombre pieces principales;Prix au m2 (Surface bati)
4;Ouest-Sud;230000.0;75;25.0;1.0;9200
8;Ouest-Sud;238000.0;75;25.0;1.0;9520
8;Ouest-Sud;505000.0;75;41.0;1.0;12317
8;Ouest-Sud;175000.0;75;14.0;1.0;12500
8;Ouest-Sud;247650.0;75;20.0;1.0;12382
8;Ouest-Sud;502340.0;75;35.0;1.0;14353
8;Ouest-Sud;205645.0;75;8.0;1.0;25706
3;Ouest-Sud;158000.0;75;21.0;1.0;7524
3;Ouest-Sud;4000.0;75;46.0;1.0;87
8;Ouest-Sud;164000.0;75;20.0;1.0;8200
8;Ouest-Sud;750000.0;75;70.0;1.0;10714
8;Ouest-Sud;260000.0;75;28.0;1.0;9286
3;Ouest-Sud;158840.0;75;16.0;1.0;9928
3;Ouest-Sud;401680.0;75;32.0;1.0;12552
3;Ouest-Sud;153000.0;75;17.0;1.0;9000
8;Ouest-Sud;92000.0;75;12.0;1.0;7667
9;Ouest-Sud;474000.0;75;25.0;1.0;18960
8;Ouest-Sud;400000.0;75;29.0;1.0;13793
9;Ouest-Sud;375000.0;75;28.0;1.0;13393
8;Ouest-Sud;345000.0;75;32.0;1.0;10781
8;Ouest-Sud;230000.0;75;16.0;1.0;14375
8;Ouest-Sud;150000.0;75;10.0;1.0;15000
3;Ouest-Sud;194000.0;75;18.0;1.0;10778
8;Ouest-Sud;270000.0;75;8.0;1.0;33750
8;Ouest-Sud;250000.0;75;15.0;1.0;16667
3;Ouest-Sud;166000.0;75;18.0;1.0;9222
3;Ouest-Sud;262000.0;75;24.0;1.0;10917
3;Ouest-Sud;290000.0;75;28.0;1.0;10357
9;Ouest-Sud;278800.0;75;24.0;1.0;11617
3;Ouest-Sud;362500.0;75;30.0;1.0;12083
7;Ouest-Sud;160000.0;75;15.0;1.0;10667
8;Ouest-Sud;740000.0;75;25.0;1.0;29600
8;Ouest-Sud;740000.0;75;21.0;1.0;35238
4;Ouest-Sud;210000.0;75;18.0;1.0;11667
3;Ouest-Sud;330000.0;75;31.0;1.0;10645
9;Ouest-Sud;926601.0;75;26.0;1.0;35638
9;Ouest-Sud;926601.0;75;26.0;1.0;35638
3;Ouest-Sud;212000.0;75;24.0;1.0;8833
8;Ouest-Sud;190000.0;75;23.0;1.0;8261
8;Ouest-Sud;283000.0;75;31.0;1.0;9129
8;Ouest-Sud;147290.0;75;13.0;1.0;11330
3;Ouest-Sud;212000.0;75;17.0;1.0;12471
8;Ouest-Sud;285000.0;75;25.0;1.0;11400
3;Ouest-Sud;285000.0;75;36.0;1.0;7917
3;Ouest-Sud;308000.0;75;27.0;1.0;11407
8;Ouest-Sud;249500.0;75;26.0;1.0;9596
