Commune;Valeur fonciere;Code postal;Surface reelle bati;Nombre pieces principales;Prix au m2 (Surface bati)
CRAMANS;220623264.0;39600.0;53.0;2.0;5495598.0
MIGNOVILLARD;220623264.0;39250.0;59.0;3.0;4092169.0
ORCHAMPS;180525216.0;39700.0;51.0;2.0;3924444.0
SELLIERES;202240659.0;39230.0;63.0;3.0;3449168.0
LES BOUCHOUX;220623264.0;39370.0;67.0;2.0;3311326.0
ROCHEFORT-SUR-NENON;220623264.0;39700.0;80.0;3.0;3236657.0
MOIRANS-EN-MONTAGNE;179996755.0;39260.0;69.0;3.0;3179579.0
VOITEUR;220623264.0;39210.0;82.0;4.0;2860706.0
ORGELET;190544683.0;39270.0;72.0;4.0;2824765.0
BLETTERANS;220623264.0;39140.0;79.0;3.0;2793961.0
ARBOIS;105945684.0;39600.0;69.0;3.0;2375865.0
FRAISANS;103001503.0;39700.0;81.0;3.0;1616595.0
SEPTMONCEL LES MOLUNES;110401820.0;39310.0;147.0;4.0;1448903.0
LAMOURA;84109074.0;39310.0;57.0;3.0;1256401.0
MONTMOROT;91982015.0;39570.0;68.0;3.0;1115774.0
VILLARD-SAINT-SAUVEUR;73574488.0;39200.0;61.0;4.0;1098214.0
LONS LE SAUNIER;61432930.0;39000.0;71.0;3.0;917564.0
SAINT-LAURENT-EN-GRANDVAUX;41467420.0;39150.0;65.0;3.0;632803.0
POLIGNY;20164633.0;39800.0;64.0;3.0;320230.0
CHAMPAGNOLE;14238871.0;39300.0;73.0;3.0;209173.0
DOLE;12771109.0;39100.0;68.0;3.0;187512.0
LA PESSE;365200.0;39370.0;73.0;2.0;5011.0
BEAUFORT-ORBAGNA;175000.0;39190.0;50.0;2.0;3903.0
BOIS-D AMONT;191091.0;39220.0;58.0;2.0;3650.0
TAVAUX;332873.0;39500.0;90.0;4.0;3418.0
LES ROUSSES;132643.0;39240.0;46.0;2.0;3104.0
QUINTIGNY;115200.0;39570.0;38.0;2.0;3032.0
CHAUX-DES-CROTENAY;163850.0;39150.0;55.0;2.0;2995.0
DOUCIER;79750.0;39130.0;65.0;2.0;2962.0
FONCINE-LE-HAUT;200000.0;39460.0;75.0;3.0;2943.0
PREMANON;101352.0;39233.0;39.0;2.0;2527.0
MORBIER;124863.0;39400.0;75.0;3.0;2489.0
BELLEFONTAINE;68017.0;39400.0;30.0;2.0;2386.0
VAL-SONNETTE;81000.0;39190.0;41.0;2.0;2323.0
DOMBLANS;180000.0;39230.0;85.0;4.0;2218.0
VITREUX;88000.0;39350.0;42.0;3.0;2095.0
LAJOUX;86890.0;39310.0;44.0;2.0;2006.0
CHATILLON;150000.0;39130.0;87.0;4.0;1994.0
MONTROND;176000.0;39300.0;90.0;5.0;1956.0
GIZIA;60000.0;39190.0;33.0;2.0;1818.0
BONLIEU;102600.0;39130.0;59.0;2.0;1802.0
CHILLY-LE-VIGNOBLE;100000.0;39570.0;56.0;2.0;1786.0
FOUCHERANS;95813.0;39100.0;56.0;3.0;1724.0
NEY;133214.0;39300.0;82.0;4.0;1705.0
PARCEY;150000.0;39100.0;97.0;4.0;1675.0
SALINS LES BAINS;115533.0;39110.0;81.0;3.0;1667.0
DAMPIERRE;114900.0;39700.0;71.0;3.0;1616.0
HAUTS DE BIENNE;93960.0;39400.0;68.0;3.0;1586.0
COUSANCE;82596.0;39190.0;62.0;3.0;1547.0
CHAPOIS;56000.0;39300.0;38.0;2.0;1500.0
MONT-SOUS-VAUDREY;108333.0;39380.0;81.0;3.0;1438.0
SAINTE-AGNES;180000.0;39190.0;118.0;4.0;1420.0
AUGERANS;94333.0;39380.0;76.0;2.0;1380.0
MESNAY;100000.0;39600.0;73.0;3.0;1370.0
RANS;117525.0;39700.0;84.0;3.0;1361.0
CLAIRVAUX-LES-LACS;63780.0;39130.0;56.0;2.0;1354.0
EVANS;134012.0;39700.0;104.0;4.0;1346.0
FONCINE-LE-BAS;75183.0;39520.0;49.0;2.0;1345.0
AVIGNON-LES-SAINT-CLAUDE;67813.0;39200.0;61.0;3.0;1337.0
BREVANS;75500.0;39100.0;65.0;3.0;1332.0
LONGCHAUMOIS;80184.0;39400.0;68.0;3.0;1329.0
VADANS;109230.0;39600.0;84.0;2.0;1307.0
PONT-DU-NAVOY;107333.0;39300.0;82.0;4.0;1296.0
DAMPARIS;72162.0;39500.0;60.0;2.0;1289.0
SAMPANS;104200.0;39100.0;82.0;3.0;1266.0
COTEAUX DU LIZON;83640.0;39170.0;75.0;3.0;1208.0
AUDELANGE;68567.0;39700.0;59.0;2.0;1203.0
CHOISEY;76000.0;39100.0;66.0;3.0;1188.0
PERRIGNY;90870.0;39570.0;77.0;4.0;1182.0
NANCHEZ;80000.0;39150.0;70.0;2.0;1143.0
BRACON;59400.0;39110.0;54.0;2.0;1100.0
VILLETTE-LES-DOLE;92167.0;39100.0;84.0;4.0;1094.0
CHASSAL-MOLINGES;132360.0;39360.0;126.0;5.0;1082.0
MONTIGNY-LES-ARSURES;100000.0;39600.0;94.0;4.0;1072.0
LA VIEILLE LOYE;85000.0;39380.0;82.0;4.0;1060.0
SAPOIS;101500.0;39300.0;96.0;4.0;1057.0
LE PASQUIER;56000.0;39300.0;54.0;2.0;1050.0
VILLARDS-D'HERIA;60000.0;39260.0;60.0;2.0;1000.0
NOZEROY;195000.0;39250.0;195.0;7.0;1000.0
SUPT;39900.0;39300.0;41.0;2.0;973.0
LAVANS-LES-SAINT-CLAUDE;53487.0;39170.0;63.0;2.0;930.0
SAINT-CLAUDE;53268.0;39200.0;66.0;3.0;915.0
CHAUSSIN;105000.0;39120.0;117.0;5.0;897.0
GENDREY;63000.0;39350.0;75.0;3.0;840.0
AUTHUME;65000.0;39100.0;80.0;3.0;812.0
PONT-DE-POITTE;50000.0;39130.0;66.0;3.0;758.0
PANNESSIERES;50600.0;39570.0;86.0;3.0;580.0
SAINT-AMOUR;62000.0;39160.0;101.0;3.0;528.0
CHAUX-CHAMPAGNY;50000.0;39110.0;115.0;5.0;435.0
LEMUY;56000.0;39110.0;150.0;6.0;381.0
LECT;6000.0;39260.0;54.0;2.0;111.0
